hour,p_load_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,eeoi,cost_g1,cost_g2
0,6.900000,11.000000000,2.928200000,3.906960282,5.921239718,7.322216787,675.319925820,830.222080236
1,9.200000,10.554543993,2.586670464,4.466515828,7.320154637,8.798088245,742.945117218,999.288293420
2,9.900000,10.382678371,2.462356235,4.630980682,7.731375552,9.318770894,764.369535241,1052.857201954
3,12.100000,9.880080719,2.121798602,5.162275241,9.059523362,11.151870298,838.385416452,1237.885025261
4,12.800000,9.731493633,2.027501524,5.335317279,9.492184245,11.800417325,864.076743401,1302.121701817
5,15.200000,9.259856765,1.746769047,5.940843210,11.005925837,14.277186676,960.107153098,1542.186241876
6,16.300000,9.061811831,1.637072074,6.223794023,11.713278051,15.548675433,1008.248484859,1662.535048658
7,15.000000,9.297044199,1.767898665,5.889724826,10.878173839,14.055387543,951.631858696,1521.005303179
8,15.100000,9.278418102,1.757294286,5.915273783,10.942020503,14.165915931,955.859316496,1531.569692100
9,14.200000,9.449565068,1.856342639,5.686433871,10.369908768,13.196537235,918.599098709,1438.417296802
10,11.500000,10.011703448,2.207733319,5.015390014,8.692343306,10.621500124,817.188461039,1184.897379047
11,14.500000,9.391650248,1.822419749,5.762419712,10.560000037,13.513327525,930.820288749,1468.990725933
12,11.500000,10.011654629,2.207701023,5.015415753,8.692285270,10.621527598,817.192126366,1184.889114756
13,12.800000,9.731497736,2.027504088,5.335319001,9.492185088,11.800414392,864.077002942,1302.121828775
14,14.100000,9.469038890,1.867843053,5.661150646,10.306692407,13.092359626,914.565954107,1428.333128643
15,12.700000,9.752403561,2.040599021,5.310506676,9.430092345,11.705775610,860.345335079,1292.783338495
16,11.500000,10.011724339,2.207747140,5.015406873,8.692340267,10.621487952,817.190861822,1184.896946308
17,12.000000,9.901769086,2.135802366,5.137696670,8.998105696,11.061835543,834.799411949,1228.924208068
18,11.500000,10.011677037,2.207715847,5.015373342,8.692342505,10.621515444,817.186086996,1184.897265028
19,11.200000,10.078991019,2.252546969,4.942515588,8.510031381,10.365018105,806.880171501,1159.108929127
20,8.500000,10.732397326,2.719649318,4.304513152,6.915136166,8.306259960,722.528993023,948.246443197
21,6.700000,11.000000000,2.928200000,3.849817414,5.778382586,7.215252738,668.872032501,814.102362127
22,6.100000,11.000000000,2.928200000,3.678397979,5.349802021,6.902553361,650.038727771,767.015689716
23,3.500000,11.000000000,2.928200000,2.935525212,3.492674788,5.689534967,577.251310073,585.052730269
