iteration,best_cost,best_cv,best_fitness,feasible
0,48574.428267153,2.533523765910e+01,25383812.087366216,0
1,47028.290347115,1.288828991500e+01,12935318.205347987,0
2,47028.290347115,1.288828991500e+01,12935318.205347987,0
3,47161.429952788,8.497316260987e+00,8544477.690940263,0
4,47293.772210903,6.798215682794e+00,6845509.455004931,0
5,47293.772210903,6.798215682794e+00,6845509.455004931,0
6,47174.620044515,5.446237786448e+00,5493412.406492588,0
7,47174.620044515,5.446237786448e+00,5493412.406492588,0
8,46693.309279420,3.807689881268e+00,3854383.190547870,0
9,46597.027988219,2.855212833979e+00,2901809.861967401,0
10,47297.970985006,2.829910148442e+00,2877208.119427396,0
11,46849.814380809,2.222499669924e+00,2269349.484305132,0
12,46971.397656269,1.805565802073e+00,1852537.199729609,0
13,46785.209431394,8.220046994205e-01,868789.908851925,0
14,46785.209431394,8.220046994205e-01,868789.908851925,0
15,46750.166062191,5.479497630280e-01,594699.929090212,0
16,46745.579507828,3.134719813638e-01,360217.560871630,0
17,46745.579507828,3.134719813638e-01,360217.560871630,0
18,46745.579507828,3.134719813638e-01,360217.560871630,0
19,46697.130683024,8.436567105520e-02,131062.801738222,0
20,46697.130683024,8.436567105520e-02,131062.801738222,0
21,46418.328952679,5.184305004746e-02,98261.379000141,0
22,46401.119203486,7.087253221647e-03,53488.372425133,0
23,46401.119203486,7.087253221647e-03,53488.372425133,0
24,46422.532679811,0.000000000000e+00,46422.532679811,1
25,46422.532679811,0.000000000000e+00,46422.532679811,1
26,46422.532679811,0.000000000000e+00,46422.532679811,1
27,46275.863274261,0.000000000000e+00,46275.863274261,1
28,46113.929417203,0.000000000000e+00,46113.929417203,1
29,45699.041756457,0.000000000000e+00,45699.041756457,1
30,45699.041756457,0.000000000000e+00,45699.041756457,1
31,45492.319324503,0.000000000000e+00,45492.319324503,1
32,45347.383695450,0.000000000000e+00,45347.383695450,1
33,45347.383695450,0.000000000000e+00,45347.383695450,1
34,45157.357869494,0.000000000000e+00,45157.357869494,1
35,45157.357869494,0.000000000000e+00,45157.357869494,1
36,45157.357869494,0.000000000000e+00,45157.357869494,1
37,45109.790930705,0.000000000000e+00,45109.790930705,1
38,45109.790930705,0.000000000000e+00,45109.790930705,1
39,45073.413084718,0.000000000000e+00,45073.413084718,1
40,45045.569207512,0.000000000000e+00,45045.569207512,1
41,45016.753005546,0.000000000000e+00,45016.753005546,1
42,45016.753005546,0.000000000000e+00,45016.753005546,1
43,44988.605920907,0.000000000000e+00,44988.605920907,1
44,44930.142955964,0.000000000000e+00,44930.142955964,1
45,44884.324399648,0.000000000000e+00,44884.324399648,1
46,44884.324399648,0.000000000000e+00,44884.324399648,1
47,44876.741676629,0.000000000000e+00,44876.741676629,1
48,44855.758505948,0.000000000000e+00,44855.758505948,1
49,44855.758505948,0.000000000000e+00,44855.758505948,1
50,44837.305961847,0.000000000000e+00,44837.305961847,1
51,44825.043243286,0.000000000000e+00,44825.043243286,1
52,44764.976685277,0.000000000000e+00,44764.976685277,1
53,44733.918855616,0.000000000000e+00,44733.918855616,1
54,44619.603766638,0.000000000000e+00,44619.603766638,1
55,44619.603766638,0.000000000000e+00,44619.603766638,1
56,44576.493337862,0.000000000000e+00,44576.493337862,1
57,44576.493337862,0.000000000000e+00,44576.493337862,1
58,44539.598072064,0.000000000000e+00,44539.598072064,1
59,44538.502730780,0.000000000000e+00,44538.502730780,1
60,44538.502730780,0.000000000000e+00,44538.502730780,1
61,44538.502730780,0.000000000000e+00,44538.502730780,1
62,44526.252929607,0.000000000000e+00,44526.252929607,1
63,44524.556243584,0.000000000000e+00,44524.556243584,1
64,44486.397069026,0.000000000000e+00,44486.397069026,1
65,44484.460821251,0.000000000000e+00,44484.460821251,1
66,44455.125611014,0.000000000000e+00,44455.125611014,1
67,44434.854286935,0.000000000000e+00,44434.854286935,1
68,44434.854286935,0.000000000000e+00,44434.854286935,1
69,44389.884748517,0.000000000000e+00,44389.884748517,1
70,44389.884748517,0.000000000000e+00,44389.884748517,1
71,44389.884748517,0.000000000000e+00,44389.884748517,1
72,44354.421832359,0.000000000000e+00,44354.421832359,1
73,44351.875508170,0.000000000000e+00,44351.875508170,1
74,44289.967758472,0.000000000000e+00,44289.967758472,1
75,44241.802225801,0.000000000000e+00,44241.802225801,1
76,44220.167878988,0.000000000000e+00,44220.167878988,1
77,44198.669980438,0.000000000000e+00,44198.669980438,1
78,44198.669980438,0.000000000000e+00,44198.669980438,1
79,44181.952174265,0.000000000000e+00,44181.952174265,1
80,44162.964772877,0.000000000000e+00,44162.964772877,1
81,44133.805582321,0.000000000000e+00,44133.805582321,1
82,44129.286157348,0.000000000000e+00,44129.286157348,1
83,44081.087297796,0.000000000000e+00,44081.087297796,1
84,44056.526782160,0.000000000000e+00,44056.526782160,1
85,44039.319707282,0.000000000000e+00,44039.319707282,1
86,44001.738519090,0.000000000000e+00,44001.738519090,1
87,44001.738519090,0.000000000000e+00,44001.738519090,1
88,43974.331034407,0.000000000000e+00,43974.331034407,1
89,43962.381832735,0.000000000000e+00,43962.381832735,1
90,43930.230634546,0.000000000000e+00,43930.230634546,1
91,43881.388831824,0.000000000000e+00,43881.388831824,1
92,43830.024916681,0.000000000000e+00,43830.024916681,1
93,43806.471891347,0.000000000000e+00,43806.471891347,1
94,43785.169981975,0.000000000000e+00,43785.169981975,1
95,43751.495735247,0.000000000000e+00,43751.495735247,1
96,43661.296708797,0.000000000000e+00,43661.296708797,1
97,43602.565431156,0.000000000000e+00,43602.565431156,1
98,43582.642954072,0.000000000000e+00,43582.642954072,1
99,43556.663196333,0.000000000000e+00,43556.663196333,1
100,43545.235432012,0.000000000000e+00,43545.235432012,1
101,43545.235432012,0.000000000000e+00,43545.235432012,1
102,43538.882999574,0.000000000000e+00,43538.882999574,1
103,43498.120482004,0.000000000000e+00,43498.120482004,1
104,43428.350372906,0.000000000000e+00,43428.350372906,1
105,43419.340817536,0.000000000000e+00,43419.340817536,1
106,43416.489925615,0.000000000000e+00,43416.489925615,1
107,43412.463680701,0.000000000000e+00,43412.463680701,1
108,43402.690196669,0.000000000000e+00,43402.690196669,1
109,43392.433448874,0.000000000000e+00,43392.433448874,1
110,43385.791119283,0.000000000000e+00,43385.791119283,1
111,43377.831015442,0.000000000000e+00,43377.831015442,1
112,43364.524016327,0.000000000000e+00,43364.524016327,1
113,43348.172498407,0.000000000000e+00,43348.172498407,1
114,43338.886599827,0.000000000000e+00,43338.886599827,1
115,43338.886599827,0.000000000000e+00,43338.886599827,1
116,43326.977800695,0.000000000000e+00,43326.977800695,1
117,43324.539830486,0.000000000000e+00,43324.539830486,1
118,43317.284282649,0.000000000000e+00,43317.284282649,1
119,43317.284282649,0.000000000000e+00,43317.284282649,1
120,43317.284282649,0.000000000000e+00,43317.284282649,1
121,43316.875003658,0.000000000000e+00,43316.875003658,1
122,43310.126116781,0.000000000000e+00,43310.126116781,1
123,43310.112505866,0.000000000000e+00,43310.112505866,1
124,43307.670083794,0.000000000000e+00,43307.670083794,1
125,43302.721447142,0.000000000000e+00,43302.721447142,1
126,43295.835972567,0.000000000000e+00,43295.835972567,1
127,43294.670811900,0.000000000000e+00,43294.670811900,1
128,43294.516185207,0.000000000000e+00,43294.516185207,1
129,43292.897942853,0.000000000000e+00,43292.897942853,1
130,43287.811754155,0.000000000000e+00,43287.811754155,1
