hour,p_vital_mw,p_nonvital_mw,p_load_mw,p_pv_mw,v_kn,p_propulsion_mw,p_ess_mw,energy_ess_mwh,soc,p_g1_mw,p_g2_mw,eeoi,co2_g1,co2_g2,cost_g1,cost_g2,cost_ess,cost_pv
0,5.500000,1.400000,6.900000,0.000000,10.999389210971,2.927712250965,1.026231973116,36.419755817773,0.485596744237,3.581129463332,5.220350814517,6.788708582071,658.941885780824,834.491072900452,639.691900590915,753.168968013350,5.528553869376,0.000000000000
1,7.300000,1.900000,9.200000,0.000000,10.100170144267,2.266776754280,0.775730725941,35.603197158887,0.474709295452,4.171742714633,6.519303313706,8.493868121497,726.663830387081,989.126433814647,706.305597177800,900.010613932411,3.587560084427,0.000000000000
2,7.900000,2.000000,9.900000,0.000000,9.951012592066,2.167826436700,0.480186802823,35.097737366442,0.467969831553,4.273710060916,7.313929572961,9.203503712761,739.309169353613,1092.374457382606,718.724290633058,998.490879944837,1.991491272103,0.000000000000
3,9.700000,2.400000,12.100000,0.000000,9.823004464843,2.085238357892,1.461098404948,33.559739045444,0.447463187273,4.914164029978,7.809975922966,10.105409321760,825.153249832403,1160.156367901977,802.907073835594,1063.296512364184,10.179676760454,0.000000000000
4,10.200000,2.600000,12.800000,0.000000,9.513450494516,1.894248135833,1.268814560729,32.224144770992,0.429655263613,4.873852680748,8.551580894356,10.961789023754,819.423466181569,1266.265277994738,797.293951566247,1164.955792628603,7.922528674925,0.000000000000
5,12.100000,3.100000,15.200000,0.600000,8.999863913572,1.603727249296,2.138886849150,29.972684929782,0.399635799064,5.205577695785,8.859262704361,12.110441606031,867.879305440378,1311.967222310307,844.741441258521,1208.811646084142,20.671798899902,6.120000000000
6,13.000000,3.300000,16.300000,1.050000,9.198679775465,1.712376196719,2.658770830639,27.173978792267,0.362319717230,5.061147378075,9.242457988005,12.048898417981,846.416846345720,1370.262317536444,823.731534710573,1264.807569608416,31.396968018391,10.710000000000
7,12.000000,3.000000,15.000000,1.400000,9.444730736406,1.853495020870,1.728764305847,25.354226891375,0.338056358552,4.870906611321,8.853824103701,11.276961416613,819.006437532108,1311.150844562904,796.885385146644,1208.027899940697,13.851091908239,14.280000000000
8,12.100000,3.000000,15.100000,2.250000,9.674657893399,1.992184383124,2.452928097919,22.772197314618,0.303629297528,4.863230823709,7.526025461495,10.020840034120,817.920997840220,1121.042984851488,795.821952465301,1025.886832082517,26.872481890314,22.950000000000
9,11.300000,2.900000,14.200000,1.550000,9.567402482966,1.926658814692,1.472514450858,21.222182103188,0.282962428043,4.995477654005,8.108666709829,10.656234453111,836.844535927490,1202.205143387705,814.358092739668,1103.553143128732,10.323684874342,15.810000000000
10,9.200000,2.300000,11.500000,1.650000,10.161442796848,2.308281712359,0.604126924345,20.586259024930,0.274483453666,4.346387349148,7.207767438866,8.988359140377,748.493493840742,1078.200451008640,727.740727044621,984.953846375446,2.569368165090,16.830000000000
11,11.500000,3.000000,14.500000,2.050000,9.475688483550,1.871780872439,1.036672778005,19.495024521767,0.259933660290,5.054332259727,8.230775834706,10.896730722826,845.418029585430,1219.662486787148,822.753556809026,1120.277831778910,5.621168929227,20.910000000000
12,9.200000,2.300000,11.500000,2.050000,10.300524113313,2.404366399671,0.220405473082,19.263018760628,0.256840250142,4.424222591791,7.209738334798,8.916780804521,758.487790731088,1078.462523070822,737.549363143812,985.204093062034,1.208887862027,20.910000000000
13,10.200000,2.600000,12.800000,3.500000,9.974943059165,2.183503822557,-0.771660991844,19.996096702880,0.266614622705,4.486129887748,7.769034926653,9.629221895889,766.553677369092,1154.465124941994,745.463256459714,1057.850915382075,3.560480951237,35.700000000000
14,11.300000,2.800000,14.100000,4.200000,9.928819396791,2.153354409220,0.130162309618,19.859083745387,0.264787783272,4.279687673465,7.643504426136,9.453202837309,740.059185597170,1137.123688260184,719.460697652896,1041.262661703367,1.072851575434,42.840000000000
15,10.100000,2.600000,12.700000,1.700000,9.909623736765,2.140889121617,1.092956135532,18.708603602721,0.249448048036,4.575362174204,7.472570811881,9.546958550258,778.361798581336,1113.773542689681,757.045553417177,1018.938117818396,6.136578391048,17.340000000000
16,9.200000,2.300000,11.500000,1.650000,10.173155117388,2.316272656970,0.216448536140,18.480763038364,0.246410173845,4.746364160898,7.203459959932,9.236166527235,801.591273705103,1077.627821726584,779.820015652969,984.407061966995,1.201454865828,16.830000000000
17,9.600000,2.400000,12.000000,1.150000,9.766972673181,2.049758040478,0.283942591466,18.181876099978,0.242425014666,4.657008507951,7.958806941061,10.086783520774,789.354416361738,1180.992363791981,767.824569256077,1083.239522145614,1.346680599569,11.730000000000
18,9.200000,2.300000,11.500000,0.000000,9.785802301348,2.061636021493,1.082949566698,17.041929187664,0.227225722502,4.542335180198,7.936351274598,9.972611737439,773.966271806983,1177.833866006454,752.734537722748,1080.215758358869,6.042952985251,0.000000000000
19,8.900000,2.300000,11.200000,0.000000,10.061833635037,2.241063063532,1.012352422727,15.976295058478,0.213017267446,4.664166067330,7.764544573475,9.661105112681,790.326669572363,1153.841977915646,768.777779155206,1057.254710474796,5.406886939547,0.000000000000
20,6.800000,1.700000,8.500000,0.000000,10.506275172931,2.551343859008,0.837627282483,15.094582129548,0.201261095061,4.065123783175,6.148592793350,7.885512331736,713.741861361017,943.205387374136,693.609493241098,856.313830614037,4.016963696746,0.000000000000
21,5.400000,1.300000,6.700000,0.000000,10.684001890036,2.683023949617,0.088875615631,15.001028849937,0.200013717999,3.737843445736,5.556304888249,7.248202278088,675.993328392620,872.802808376564,656.483278471676,789.464979047071,1.033965162732,0.000000000000
22,4.800000,1.300000,6.100000,0.000000,10.999061399897,2.927450497915,-0.002869851077,15.003755208460,0.200050069446,4.215158978179,4.815161370813,6.918131808030,732.013720134617,789.845410447382,711.560255485314,710.954442222505,1.000035414994,0.000000000000
23,2.800000,0.700000,3.500000,0.000000,10.999494515280,2.927796338453,0.003103648256,15.000488210296,0.200006509471,2.577700620059,3.846992070138,5.707355236326,565.478302770388,690.082149604094,547.311433767180,617.000197183264,1.000041420320,0.000000000000
