iteration,search_nfe,action,phase,best_cost,best_cv,best_fitness,feasible,feasible_fraction,cv_r,cv_soc,cv_e,cv_d,median_cv,normalized_diversity,improved,stagnation_iterations,requested_action,selector_fallback,selector_error_kind,selector_elapsed_seconds,llm_call_id
0,600,A1,feasibility,48055.11462407975,33.83789714706299,33885952.26168707,False,0.0,33.83789714706299,0.0,0.0,0.0,57.701366376435146,0.23660237074574583,False,0,A1,False,,0.0,
1,1200,A4,feasibility,46874.523948715934,11.26704347660726,11313918.000555975,False,0.0,11.26704347660726,0.0,0.0,0.0,41.417791257085845,0.22734535684206472,True,0,A4,False,,0.0,
2,1800,A4,feasibility,46195.81834888614,4.077019735115847,4123215.553464733,False,0.0,4.077019735115847,0.0,0.0,0.0,34.397353103117176,0.15694776479694322,True,0,A4,False,,0.0,
3,2400,A4,feasibility,46366.15977483039,1.970704907028116,2017071.0668029464,False,0.0,1.970704907028116,0.0,0.0,0.0,19.735349930334465,0.11382053457874394,True,0,A4,False,,0.0,
4,3000,A4,feasibility,46290.01705987407,1.2390034319563827,1285293.4490162567,False,0.0,1.2390034319563827,0.0,0.0,0.0,14.24184682415351,0.09734745668840745,True,0,A4,False,,0.0,
5,3600,A4,feasibility,46364.97803822758,0.9836793550218428,1030044.3330600703,False,0.0,0.9836793550218428,0.0,0.0,0.0,9.763351423489176,0.0912736464787421,True,0,A4,False,,0.0,
6,4200,A4,feasibility,46509.62987343992,0.521692498383171,568202.128256611,False,0.0,0.521692498383171,0.0,0.0,0.0,8.035828677500373,0.0745590651532034,True,0,A4,False,,0.0,
7,4800,A4,feasibility,46171.21885893793,0.4021504381633325,448321.65702227043,False,0.0,0.4021504381633325,0.0,0.0,0.0,4.992057936753853,0.06937253602889812,True,0,A4,False,,0.0,
8,5400,A4,feasibility,46155.92242293483,0.1299506156775363,176106.53810047114,False,0.0,0.1299506156775363,0.0,0.0,0.0,5.539298589890549,0.05992222339189563,True,0,A4,False,,0.0,
9,6000,A4,cost,46225.85895548414,0.0,46225.85895548414,True,0.0016666666666666668,0.0,0.0,0.0,0.0,3.3182766187395183,0.05420924936138446,True,0,A4,False,,0.0,
