method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
Rule,8400,28,45615.09689770523,45101.143610704596,45879.18630219991
Rule,9000,30,45505.947849627046,45051.457483672566,45834.72065899883
Rule,9600,30,45471.768124214665,44961.926746280245,45769.77127466348
Rule,10200,30,45406.44219851851,44909.50104931042,45719.99736202246
Rule,10800,30,45346.56154999355,44809.457337674554,45654.93187266824
Rule,11400,30,45258.266789209854,44736.73149694,45620.43385516235
Rule,12000,30,45208.48345250902,44641.1284153336,45501.581951805354
Rule,12600,30,45141.45929986394,44594.48714027404,45421.6841511084
Rule,13200,30,45025.31255579823,44540.225747863326,45391.01741302984
Rule,13800,30,44955.50600636829,44468.75269789363,45324.99197795369
Rule,14400,30,44874.14890352484,44457.05602718372,45187.30756413432
Rule,15000,30,44771.78804242763,44422.69419175458,45148.215005295104
Rule,15600,30,44693.907198521425,44403.445721840144,45038.65893184022
Rule,16200,30,44600.267541123656,44352.302514028386,45027.19810578528
Rule,16800,30,44575.715237898876,44283.47138167171,45008.223452281614
Rule,17400,30,44500.543227588736,44235.92873848408,44928.97583446023
Rule,18000,30,44425.70819429286,44202.93249899221,44865.3336970242
Rule,18600,30,44394.25706256174,44137.28952443426,44796.2800363064
Rule,19200,30,44297.83344385294,44037.48517337739,44794.67270753367
Rule,19800,30,44286.449341300075,43971.92377438859,44749.9005778301
Rule,20400,30,44227.2636642612,43971.92377438859,44741.27912379434
Rule,21000,30,44168.61237092176,43945.88146815428,44700.237780334835
Rule,21600,30,44140.31343345291,43828.952027267034,44638.226465115185
Rule,22200,30,44099.06165067079,43796.42994235407,44591.142183369266
Rule,22800,30,44051.60125777671,43715.248970570494,44578.89717661368
Rule,23400,30,44026.74875096754,43586.52271974868,44480.21101883437
Rule,24000,30,44024.260959709594,43565.310366955855,44399.09025753507
Rule,24600,30,43998.367149699254,43528.06249263704,44324.78853605378
Rule,25200,30,43938.055046209076,43527.581824424284,44320.05083358157
Rule,25800,30,43897.1943100343,43517.32239320174,44312.20477181083
Rule,26400,30,43877.544860432725,43502.49826525102,44293.02493480078
Rule,27000,30,43844.84174927008,43494.40710791423,44242.05825630194
Rule,27600,30,43832.83472842739,43479.98893597373,44225.29400557367
Rule,28200,30,43824.95843252333,43474.77138866822,44200.011462726514
Rule,28800,30,43807.26828609877,43451.81198995385,44188.55399522252
Rule,29400,30,43758.09852085676,43413.40329258257,44136.85711285921
Rule,30000,30,43748.10885682576,43408.507642623685,44132.553331492316
Rule,30600,30,43717.48123262087,43375.723840792874,44066.907493685074
Rule,31200,30,43698.04949635741,43375.723840792874,44053.83573924194
Rule,31800,30,43680.86616400386,43366.74961599259,44019.04478182525
Rule,32400,30,43654.14612007905,43359.7308776392,43979.985770554165
Rule,33000,30,43644.484886517,43358.36753941961,43974.804127657655
Rule,33600,30,43609.5890212328,43349.00760438852,43974.804127657655
Rule,34200,30,43578.76272405099,43336.45653751465,43965.30170188806
Rule,34800,30,43556.487020693065,43312.79623821678,43931.18331557225
Rule,35400,30,43535.93674893666,43297.10804960607,43925.9970178958
Rule,36000,30,43506.734579151984,43295.24901114352,43894.36072398396
Rule,36600,30,43470.14061368615,43272.64428823779,43867.19721102159
Rule,37200,30,43454.10865548604,43268.97541254541,43857.42252670211
Rule,37800,30,43392.75880264082,43246.5856789299,43834.11766127305
Rule,38400,30,43388.48660650472,43241.9622641958,43799.855762444626
Rule,39000,30,43376.6125778673,43222.913050701485,43773.20809606802
Rule,39600,30,43372.099389292955,43210.146856586296,43751.0346323335
Rule,40200,30,43370.373366692475,43190.89307253561,43748.05497799647
Rule,40800,30,43360.51612589109,43186.34879388837,43723.86286696589
Rule,41400,30,43357.127528521494,43179.77369980038,43696.323869493004
Rule,42000,30,43349.76897509865,43153.63605707503,43671.207860345836
Rule,42600,30,43333.177322491625,43149.61972735789,43658.634547735885
Rule,43200,30,43330.24629766721,43133.54790723713,43639.007675361994
Rule,43800,30,43312.32904054856,43127.02754248647,43617.625893312026
Rule,44400,30,43302.942496760676,43118.69026460388,43559.426939185556
Rule,45000,30,43297.992895452306,43116.997006632606,43503.60432132186
Rule,45600,30,43269.74683315461,43112.518851409994,43495.862036735874
Rule,46200,30,43263.131195916445,43109.79195379711,43479.35964938202
Rule,46800,30,43257.29041821697,43108.17722213063,43479.35964938202
Rule,47400,30,43233.7646283148,43103.43596779589,43470.74381784433
Rule,48000,30,43216.49713696448,43092.142887295726,43459.64081470551
Rule,48600,30,43213.34173891602,43091.171129845534,43450.53646205097
Rule,49200,30,43206.50621213787,43083.832542794284,43444.217535462245
Rule,49800,30,43202.832098517756,43072.75879706099,43430.80530070939
Rule,50400,30,43188.42349452056,43063.00234904115,43421.73631522964
Rule,51000,30,43174.11012079229,43058.38043850331,43412.93443115094
Rule,51600,30,43169.93029910486,43048.15885888595,43400.51145260209
Rule,52200,30,43168.594470805634,43040.67287996586,43388.060232648786
Rule,52800,30,43158.903571831535,43026.17251753941,43383.2024261787
Rule,53400,30,43153.28032237262,43021.639535566464,43373.428265750845
Rule,54000,30,43145.056993291764,43013.01547621161,43370.86210908204
Rule,54600,30,43137.658012566986,43012.060477796644,43364.764111580225
Rule,55200,30,43127.816972305045,43005.00346654348,43347.319414331636
Rule,55800,30,43124.15373627751,43000.17146044086,43345.985094934236
Rule,56400,30,43118.97375264637,42996.11318603511,43339.924276017555
Rule,57000,30,43112.87005286059,42990.20858209039,43339.387321529415
Rule,57600,30,43108.099972611904,42982.301305016175,43338.004887883806
Rule,58200,30,43097.84039541113,42977.56283059564,43336.84515391608
Rule,58800,30,43087.76075196882,42972.96227547837,43333.72158565426
Rule,59400,30,43083.985768117214,42971.04691848977,43332.277886748365
Rule,60000,30,43079.19949574084,42969.13864889113,43331.05830835056
Rule,60600,30,43074.458623379396,42962.55480642158,43328.92427505076
Rule,61200,30,43073.17994790533,42957.73029287804,43324.84396722385
Rule,61800,30,43069.06972290339,42955.14710382858,43318.98883803623
Rule,62400,30,43064.76686059095,42948.91625440271,43314.02286258685
Rule,63000,30,43061.93144090548,42941.60545235081,43312.56669562158
Rule,63600,30,43052.61219447352,42932.77569724644,43306.33074261863
Rule,64200,30,43048.66036602591,42916.37966010798,43302.52310795849
Rule,64800,30,43048.156892299434,42901.87122623695,43301.27334788429
Rule,65400,30,43046.88044973866,42890.31877213801,43298.93277643142
Rule,66000,30,43041.98214662325,42885.26936907908,43291.74141255167
Rule,66600,30,43037.12843073322,42883.673941000336,43289.97046948514
Rule,67200,30,43028.54110185149,42879.66436286014,43287.55388694119
Rule,67800,30,43019.11265316955,42876.913893972654,43281.45163133093
Rule,68400,30,43012.021304788024,42873.35771216829,43279.306286903025
Rule,69000,30,43003.541544578795,42866.985730788256,43274.430004804715
Rule,69600,30,42999.12635655787,42862.916955691144,43270.02893963439
Rule,70200,30,42997.74480822115,42854.41203878401,43270.02893963439
Rule,70800,30,42991.89490861223,42852.82938844325,43266.313702235464
Rule,71400,30,42986.65938620866,42850.44360182847,43262.51188299649
Rule,72000,30,42981.45735291197,42843.86698420367,43259.41976308706
Rule,72600,30,42976.60461852094,42841.3865277315,43250.612322086454
Rule,73200,30,42967.401280690014,42834.44552454771,43247.469706952135
Rule,73800,30,42963.331023416045,42831.266001024436,43244.64516688288
Rule,74400,30,42958.29235250316,42826.71807074484,43237.34323605856
Rule,75000,30,42953.899093585555,42819.48204967802,43229.61761418955
Rule,75600,30,42947.03711383211,42815.34864072903,43227.73944855656
Rule,76200,30,42941.35488699957,42812.159829870405,43225.68022589929
Rule,76800,30,42938.55008576733,42807.09704223924,43222.3007835017
Rule,77400,30,42933.16440859517,42800.97240611495,43221.8456073584
Rule,78000,30,42928.76238502844,42797.73895472328,43218.60145827632
Rule,78600,30,42919.36457669645,42792.85465011367,43216.632900453566
Rule,79200,30,42916.604354382296,42787.381316326784,43216.376001013756
Rule,79800,30,42909.30929875286,42781.37555737003,43212.895238926714
Rule,80400,30,42901.08853649093,42776.49219937304,43210.45716794167
Rule,81000,30,42895.777635148,42770.34936489867,43205.32515986344
Rule,81600,30,42886.04558918446,42768.06896408685,43203.962877810416
Rule,82200,30,42882.21235883342,42765.01538030075,43200.4230074606
Rule,82800,30,42879.20786030458,42761.373551560086,43198.76330991029
Rule,83400,30,42874.588581344105,42755.682624223475,43195.2417786926
Rule,84000,30,42870.45305488934,42751.303441837204,43189.800671411176
Rule,84600,30,42867.35431773042,42748.45531298007,43187.320500039794
Rule,85200,30,42865.62308940569,42745.37112812586,43177.00214124909
Rule,85800,30,42861.728997535014,42743.48829913918,43168.685224114204
Rule,86400,30,42860.2474592949,42738.64095764925,43166.165777317
Rule,87000,30,42856.594484865054,42738.11557799302,43158.14832367202
Rule,87600,30,42854.84060851794,42736.51238201317,43149.30882505808
Rule,88200,30,42850.452887468986,42732.80155751374,43140.72465790097
Rule,88800,30,42846.20724045752,42728.28483928356,43132.146910965
Rule,89400,30,42843.64042597426,42726.5550066804,43123.01696475234
Rule,90000,30,42840.06560351442,42721.07602577226,43113.67467119978
Rule,90600,30,42839.14429142903,42719.85641664603,43105.53746381915
Rule,91200,30,42837.3750216304,42716.96413963176,43089.75022285657
Rule,91800,30,42833.69724260197,42714.17002312913,43085.92971911399
Rule,92400,30,42827.77327525389,42710.048096515806,43073.698948851845
Rule,93000,30,42826.28121424201,42707.83579450408,43073.29334287573
