seed,checkpoint,action,repeat,checkpoint_nfe,start_iteration,end_iteration,start_nfe,end_nfe,before_cost,after_cost,before_cv,after_cv,feasible_after,cost_reward,gap_reward
310027,20pct,A1,1,60600,100,120,60600,72600,43211.598068059524,42938.10017192704,0.0,0.0,True,273.4978961324814,0.0064570157838856595
310027,20pct,A1,2,60600,100,120,60600,72600,43211.598068059524,42938.10017192704,0.0,0.0,True,273.4978961324814,0.0064570157838856595
310027,20pct,A1,3,60600,100,120,60600,72600,43211.598068059524,42938.10017192704,0.0,0.0,True,273.4978961324814,0.0064570157838856595
310027,20pct,A2,1,60600,100,120,60600,72600,43211.598068059524,42941.669512782784,0.0,0.0,True,269.92855527673964,0.006372747164018731
310027,20pct,A2,2,60600,100,120,60600,72600,43211.598068059524,42887.82987982961,0.0,0.0,True,323.7681882299148,0.007643847836796358
310027,20pct,A2,3,60600,100,120,60600,72600,43211.598068059524,42945.86122596113,0.0,0.0,True,265.7368420983912,0.006273784946989439
310027,20pct,A3,1,60600,100,120,60600,72600,43211.598068059524,42945.993196295996,0.0,0.0,True,265.6048717635276,0.006270669257445684
310027,20pct,A3,2,60600,100,120,60600,72600,43211.598068059524,43027.99297934765,0.0,0.0,True,183.6050887118763,0.004334735193867963
310027,20pct,A3,3,60600,100,120,60600,72600,43211.598068059524,43035.60813843346,0.0,0.0,True,175.9899296260628,0.004154948792914882
310027,20pct,A4,1,60600,100,120,60600,72600,43211.598068059524,42944.59464063631,0.0,0.0,True,267.00342742321664,0.006303687778234892
310027,20pct,A4,2,60600,100,120,60600,72600,43211.598068059524,42908.09880285662,0.0,0.0,True,303.4992652029032,0.007165318540013829
310027,20pct,A4,3,60600,100,120,60600,72600,43211.598068059524,42958.702202352244,0.0,0.0,True,252.89586570727988,0.005970622149723366
310027,40pct,A1,1,120600,200,220,120600,132600,42492.82177094386,42439.14127998249,0.0,0.0,True,53.680490961371106,0.0012673434871923305
310027,40pct,A1,2,120600,200,220,120600,132600,42492.82177094386,42439.14127998249,0.0,0.0,True,53.680490961371106,0.0012673434871923305
