hour,p_vital_mw,p_nonvital_mw,p_load_mw,p_pv_mw,v_kn,p_propulsion_mw,p_ess_mw,energy_ess_mwh,soc,p_g1_mw,p_g2_mw,eeoi,co2_g1,co2_g2,cost_g1,cost_g2,cost_ess,cost_pv
0,5.500000,1.400000,6.900000,0.000000,11.000000000000,2.928200000000,0.223551014824,37.264683142290,0.496862441897,3.907324411751,5.697324573425,7.201884055009,695.180228909519,889.234263192366,675.361285703687,805.050315751817,1.214892741784,0.000000000000
1,7.300000,1.900000,9.200000,0.000000,10.297929395680,2.402549866717,0.564667759017,36.670296027536,0.488937280367,4.058272537830,6.979609569869,8.550539760648,712.922001260950,1048.135093741039,692.803758340957,956.257436321823,2.371053615715,0.000000000000
2,7.900000,2.000000,9.900000,0.000000,9.950167288682,2.167274036023,0.618478125197,36.019266422066,0.480256885628,4.414570500645,7.034225410181,9.107999236399,757.239546526140,1055.282774820972,736.324471174848,963.077422359884,2.644815322791,0.000000000000
3,9.700000,2.400000,12.100000,0.000000,9.890312203419,2.128397224158,1.289355095831,34.662050531718,0.462160673756,4.832875766491,8.106166361836,10.189230165829,813.644048018451,1201.849301032509,791.631455464265,1103.212302861491,8.148477221522,0.000000000000
4,10.200000,2.600000,12.800000,0.000000,9.471080926807,1.869051737657,1.190279828544,33.409124396408,0.445454991952,4.912174357661,8.566597551452,11.051232551615,824.869411997505,1268.472944748604,802.629032252795,1167.073359439893,7.092094102023,0.000000000000
5,12.100000,3.100000,15.200000,0.600000,9.345696569225,1.795798937596,2.094670349741,31.204208238786,0.416056109850,5.259459205122,9.041669382733,11.853351343461,876.030392310826,1339.526107377111,852.718355155899,1235.276091080712,19.866868658563,6.120000000000
6,13.000000,3.300000,16.300000,1.050000,9.204153134982,1.715434688365,2.373789956378,28.705481968914,0.382739759586,5.298674142650,9.292970589337,12.277461426131,882.012034971293,1378.060666527785,858.571409421600,1272.302842991764,25.229978655110,10.710000000000
7,12.000000,3.000000,15.000000,1.400000,9.335009177935,1.789645153416,1.807039858438,26.803334749506,0.357377796660,4.950776438262,8.631828856716,11.293429754245,830.395293494855,1278.090114630055,808.041752700555,1176.299141489758,15.041190114928,14.280000000000
8,12.100000,3.000000,15.100000,2.250000,8.939444658125,1.571644442512,1.468078052358,25.257989431234,0.336773192416,4.762278344249,8.191288045905,11.285899121125,803.793266321936,1214.000145887554,781.978175496381,1114.852417612127,10.267588621609,22.950000000000
9,11.300000,2.900000,14.200000,1.550000,9.474972499084,1.871356608354,1.707598269604,23.460517568493,0.312806900913,4.740217423583,8.073540915167,10.543327176639,800.742600744138,1197.212100205869,778.988204979885,1098.770854714866,13.538334956521,15.810000000000
10,9.200000,2.300000,11.500000,1.650000,10.109737642679,2.273224546581,0.719537971654,22.703109177279,0.302708122364,4.380154023641,7.023532551286,8.935395539518,752.809155392455,1053.880937369301,731.976588804328,961.739742061583,3.226260038401,16.830000000000
11,11.500000,3.000000,14.500000,2.050000,9.577861889459,1.932984590044,1.356860109176,21.274835378146,0.283664471709,4.745228104119,8.280896376748,10.588517714268,801.434342802851,1226.872862824098,779.666204131028,1127.187484563608,8.916598230256,20.910000000000
12,9.200000,2.300000,11.500000,2.050000,10.396960626478,2.472531758995,0.542823443762,20.703442279450,0.276045897059,4.339715561581,7.039992753652,8.674091689759,747.644426214130,1056.039369163482,726.907291759577,963.799412641570,2.267026351719,20.910000000000
13,10.200000,2.600000,12.800000,3.500000,9.911594439778,2.142166636035,0.392420559447,20.290368006347,0.270538240085,4.476261068846,6.573485007741,8.884638824838,765.260938300804,995.957797213340,744.195003860262,906.516887166894,1.662173750551,35.700000000000
14,11.300000,2.800000,14.100000,4.200000,9.733155345477,2.028540326501,0.478632694567,19.786544117330,0.263820588231,4.362791743175,7.087115888759,9.312604311166,750.586266655076,1062.234221975670,729.794874244267,969.711526643116,1.985083802126,42.840000000000
15,10.100000,2.600000,12.700000,1.700000,10.069315852319,2.246066304588,0.768999643481,18.977070808403,0.253027610779,4.575947623140,7.901119037968,9.689480698068,778.439981002582,1172.888850873228,757.122227924003,1075.482136645422,3.542849942195,17.340000000000
16,9.200000,2.300000,11.500000,1.650000,10.941976085280,2.882106099769,0.696358467347,18.244061895406,0.243254158605,4.725437780385,7.310309852037,8.639186382320,798.706167723768,1091.889248108629,776.992162176393,998.027388996408,3.085134994696,16.830000000000
17,9.600000,2.400000,12.000000,1.150000,9.795174687962,2.067565314149,1.196587516449,16.984496088617,0.226459947848,4.376335460385,7.344642337315,9.437383668118,752.319567438484,1096.496865092225,731.496082328342,1002.429011068337,7.156833243443,11.730000000000
18,9.200000,2.300000,11.500000,0.000000,9.660299440632,1.983327557300,0.824698606070,16.116392292754,0.214885230570,4.559067084539,8.099561866691,10.233115003887,776.189422043285,1200.909680916265,754.915009871700,1102.312309716121,3.924549500672,0.000000000000
19,8.900000,2.300000,11.200000,0.000000,9.905592519087,2.138277454428,0.966807308016,15.098700389579,0.201316005194,4.487707956867,7.883762189545,9.778406046488,766.760636101383,1170.457479552381,745.666290662054,1073.154906415110,5.019280394583,0.000000000000
20,6.800000,1.700000,8.500000,0.000000,9.989565616911,2.193120490501,-0.000895090931,15.099550725964,0.201327343013,4.100647656519,6.593367924913,8.591392190411,718.013177804516,998.472342729951,697.806817516097,908.912135180474,1.000003445107,0.000000000000
21,5.400000,1.300000,6.700000,0.000000,11.000000000000,2.928200000000,0.033989420008,15.063772389113,0.200850298522,3.922856287480,5.671354292512,7.196227640471,696.977382479792,886.192698423899,677.128694328641,802.164572668827,1.004967706892,0.000000000000
22,4.800000,1.300000,6.100000,0.000000,11.000000000000,2.928200000000,0.040176944854,15.021480868214,0.200286411576,3.628528549769,5.359494505376,6.882934873812,664.029247890339,850.216424348249,644.703195271632,768.059457315992,1.006941003661,0.000000000000
23,2.800000,0.700000,3.500000,0.000000,11.000000000000,2.928200000000,0.017730049894,15.002817657800,0.200037568771,2.771003601601,3.639466348505,5.687891030729,581.369258977181,669.966767783188,563.072035700340,598.129969692157,1.001351725078,0.000000000000
