method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
A1-only,15000,25,46073.43605563238,45495.96059185089,46601.87330315917
A1-only,15600,30,46178.119011702074,45553.84014321231,46585.241366337475
A1-only,16200,30,46140.04958696954,45531.96210696846,46572.17387813866
A1-only,16800,30,46065.74444040163,45452.36723740861,46464.51557114924
A1-only,17400,30,45931.182441959216,45353.74214931551,46372.643936934146
A1-only,18000,30,45859.64643652727,45328.94327702782,46349.784672097296
A1-only,18600,30,45824.59978649857,45183.849289108584,46345.74469721633
A1-only,19200,30,45776.83707470303,45144.7293592357,46277.06497743259
A1-only,19800,30,45714.95573825427,45006.57378001166,46241.315900822985
A1-only,20400,30,45664.18825887544,44950.22808871777,46180.13904618683
A1-only,21000,30,45575.467880289536,44836.142901980624,46148.836089218355
A1-only,21600,30,45498.896608279145,44801.78568680481,46093.3401794785
A1-only,22200,30,45413.71485451576,44771.3526386093,46005.37765217301
A1-only,22800,30,45386.8558728339,44765.06375184877,45919.17788747953
A1-only,23400,30,45320.00987745193,44739.78523399587,45758.62090389064
A1-only,24000,30,45286.12931166864,44659.94761475551,45664.18501889544
A1-only,24600,30,45188.712283769455,44639.11748923103,45644.494480409434
A1-only,25200,30,45114.785093867366,44632.770824868036,45560.706856625446
A1-only,25800,30,45032.386247625655,44534.62137000876,45474.82996640071
A1-only,26400,30,44963.48705400115,44521.24345093836,45424.01524766795
A1-only,27000,30,44885.12664083205,44417.4587924749,45364.27675382757
A1-only,27600,30,44855.80581305479,44402.65576216502,45339.29241958611
A1-only,28200,30,44818.35001877989,44370.72714617126,45272.34633194489
A1-only,28800,30,44763.571844379825,44360.347526709826,45191.93345993642
A1-only,29400,30,44715.67790380694,44304.31998756906,45118.51139943325
A1-only,30000,30,44664.25996314293,44263.74690855385,45021.130030640066
A1-only,30600,30,44648.13807559006,44182.284396667004,44967.605973958285
A1-only,31200,30,44591.25195182786,44098.53662046339,44959.77479478428
A1-only,31800,30,44539.166342049124,44079.01897139383,44885.55121221105
A1-only,32400,30,44499.65898055359,44062.732994712525,44872.091170093714
A1-only,33000,30,44442.12907346766,44062.18378646829,44809.27898038402
A1-only,33600,30,44402.43798913633,44044.66150121747,44809.27898038402
A1-only,34200,30,44372.70043795704,44019.61155904039,44798.19205856648
A1-only,34800,30,44349.44739136165,43982.28981570764,44767.04917895334
A1-only,35400,30,44299.86002071267,43957.870905662734,44752.77520140853
A1-only,36000,30,44295.55624613297,43941.11643402198,44720.20377808824
A1-only,36600,30,44263.18826967471,43871.792944732195,44676.792914011785
A1-only,37200,30,44185.42552085921,43863.46989850966,44623.841333130054
A1-only,37800,30,44185.42552085921,43850.42157328334,44606.58781861319
A1-only,38400,30,44185.42552085921,43822.30559780379,44597.977498773886
A1-only,39000,30,44152.72240565658,43759.87247255034,44566.995822825105
A1-only,39600,30,44152.72240565658,43713.642532342186,44562.26418106022
A1-only,40200,30,44132.05416158942,43713.356326403955,44517.783421090964
A1-only,40800,30,44107.32339052145,43699.78919515057,44495.580499155556
A1-only,41400,30,44051.03249095107,43644.34771480156,44465.694904909324
A1-only,42000,30,44024.516181092346,43608.93702745313,44423.254055643025
