comparison,candidate,reference,resolved_pairs,mcnemar_candidate_only,mcnemar_reference_only,mcnemar_p,joint_feasible_pairs,candidate_median,candidate_q25,candidate_q75,reference_median,reference_q25,reference_q75,median_difference,difference_ci_low,difference_ci_high,median_relative_difference,relative_ci_low,relative_ci_high,rank_biserial,wins,ties,losses,cost_inference_available,cost_analysis_status,wilcoxon_statistic,wilcoxon_p,auc_joint_feasible_pairs,auc_candidate_median,auc_candidate_q25,auc_candidate_q75,auc_reference_median,auc_reference_q25,auc_reference_q75,auc_median_difference,auc_difference_ci_low,auc_difference_ci_high,auc_median_relative_difference,auc_relative_ci_low,auc_relative_ci_high,auc_rank_biserial,auc_wins,auc_ties,auc_losses,auc_cost_inference_available,auc_cost_analysis_status,auc_wilcoxon_statistic,auc_wilcoxon_p,mcnemar_holm_p,wilcoxon_holm_p
A2-only vs A1-only,A2-only,A1-only,30,0,0,1.0,30,42393.43382761431,42386.386725513934,42418.4771918139,42511.41557629418,42450.9111691184,42551.823711925,-94.28686807907798,-112.42525383000248,-37.30729934238843,-0.00222000565201919,-0.0026439805989144096,-0.0008788990824466754,-0.6258064516129033,25,0,5,True,inferential,87.0,0.0020201820880174637,30,42827.93154999015,42702.59541379095,43049.08064109772,43006.50832564445,42855.297164563286,43116.72345628844,-132.51472508361257,-356.5902527893959,26.912762531992485,-0.003090143039387677,-0.00827477259889354,0.0006309581155724178,-0.23870967741935484,19,0,11,True,inferential,177.0,0.2621222734451294,1.0,0.018181638792157173
A3-only vs A1-only,A3-only,A1-only,30,0,0,1.0,30,42387.26827498735,42380.32818085057,42393.31256323847,42511.41557629418,42450.9111691184,42551.823711925,-122.29634270031602,-159.39135317331966,-75.68990901591339,-0.0028765250678919755,-0.0037465980140228014,-0.0017825421703548466,-1.0,30,0,0,True,inferential,0.0,1.862645149230957e-09,30,42840.63579059503,42681.437688609934,42952.302183670006,43010.78597830162,42935.06285821499,43178.258254146094,-168.98324399047488,-341.59949658827463,-115.46689700983188,-0.00394563741732773,-0.007932701208908845,-0.0026809879034562925,-0.6602150537634408,23,0,7,True,inferential,79.0,0.001038169488310814,1.0,1.862645149230957e-08
A4-only vs A1-only,A4-only,A1-only,30,0,0,1.0,30,42496.21480030085,42458.93700793613,42573.16193016541,42511.41557629418,42450.9111691184,42551.823711925,29.341108949178306,-16.570849500109034,74.95365570633294,0.0006883390503094734,-0.0003895047963301979,0.001767467740198351,0.1010752688172043,12,0,18,True,inferential,209.0,0.6408254038542509,30,42865.33505107449,42748.303801533584,43066.261946453145,43055.90900172155,42941.65837471429,43182.55344289421,-144.88971546377434,-258.20146047815797,-43.27132775919017,-0.003370733598424075,-0.005975346357898002,-0.0010112460921571156,-0.6258064516129033,22,0,8,True,inferential,87.0,0.0020201820880174637,1.0,1.0
UniformRandom vs A1-only,UniformRandom,A1-only,0,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,nan,nan
Rule vs UniformRandom,Rule,UniformRandom,0,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,nan,nan
UCB1 vs UniformRandom,UCB1,UniformRandom,0,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,nan,nan
UCB1 vs A1-only,UCB1,A1-only,0,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,nan,nan
LLM-E vs UCB1,LLM-E,UCB1,0,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,nan,nan
LLM-EP vs LLM-E,LLM-EP,LLM-E,0,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,nan,nan
LLM-EP vs UCB1,LLM-EP,UCB1,0,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,nan,nan,nan,nan
