hour,p_vital_mw,p_nonvital_mw,p_load_mw,p_pv_mw,v_kn,p_propulsion_mw,p_ess_mw,energy_ess_mwh,soc,p_g1_mw,p_g2_mw,eeoi,co2_g1,co2_g2,cost_g1,cost_g2,cost_ess,cost_pv
0,5.500000,1.400000,6.900000,0.000000,10.980134730394,2.912364228507,-0.010100809918,37.509595769422,0.500127943592,3.881732500095,5.940732538330,7.332859591767,692.233262231868,918.082463301389,672.462803630912,832.438068071409,1.000438713352,0.000000000000
1,7.300000,1.900000,9.200000,0.000000,10.140860583110,2.294283686119,0.410909784148,37.077059154529,0.494360788727,4.280599936587,6.802773965385,8.704285120904,740.173732896789,1025.205104837694,719.573164861410,934.388461045387,1.726041458046,0.000000000000
2,7.900000,2.000000,9.900000,0.000000,10.327459409667,2.423277617667,0.965574701001,36.060664732423,0.480808863099,4.446582149351,6.911120767315,8.717559066919,761.389074441059,1039.215673858394,740.396192334297,947.748949254505,5.009038363813,0.000000000000
3,9.700000,2.400000,12.100000,0.000000,9.704438280631,2.010638006922,1.313794434560,34.677723222360,0.462369642965,4.794169051938,8.002674520424,10.280884273912,808.226458649912,1187.177679479768,786.322768304509,1089.161632357224,8.422040010009,0.000000000000
4,10.200000,2.600000,12.800000,0.000000,9.617723249815,1.957219387524,1.208352916030,33.405772784433,0.445410303792,5.023441396679,8.525425074814,10.934666960855,840.906420756069,1262.425592411772,818.335821816492,1161.273041962889,7.278502109620,0.000000000000
5,12.100000,3.100000,15.200000,0.600000,9.083842027127,1.649040795748,2.154413846476,31.137968735511,0.415172916473,5.030140390392,9.064486558880,12.026191124169,841.882620589084,1342.997786610817,819.291745196342,1238.610867257538,20.958445794121,6.120000000000
6,13.000000,3.300000,16.300000,1.050000,9.186031549940,1.705322330098,2.668584108359,28.328932831976,0.377719104426,5.168366194575,9.118372027165,12.048259547325,862.295785082272,1351.218061389577,839.276512910810,1246.507829226590,31.621766916554,10.710000000000
7,12.000000,3.000000,15.000000,1.400000,9.408550750173,1.832275929734,1.993654328782,26.230349327995,0.349737991040,4.995287750563,8.443333850388,11.092238603988,836.817023603180,1250.420773169937,814.331149248843,1149.760770067606,18.091027605479,14.280000000000
8,12.100000,3.000000,15.100000,2.250000,9.585456161533,1.937586218334,1.417515526826,24.738227720809,0.329843036277,4.898333109151,8.471737582356,10.836544132925,822.897838942315,1254.566535631026,800.697671536514,1153.736110136890,9.640206155814,22.950000000000
9,11.300000,2.900000,14.200000,1.550000,9.385317747854,1.818735829831,1.369328223228,23.296829591096,0.310624394548,5.061422590623,8.037985015981,10.860730821607,846.457207557935,1192.170987135950,823.771053418747,1093.943077040066,9.062757066590,15.810000000000
10,9.200000,2.300000,11.500000,1.650000,9.989400889788,2.193011999155,0.520280927888,22.749165456477,0.303322206086,4.447986341196,7.074744730071,9.120553920462,761.571727046812,1060.605661921633,740.575408483469,968.157193541205,2.163976648871,16.830000000000
11,11.500000,3.000000,14.500000,2.050000,9.489677291641,1.880082957552,1.129764079796,21.559940109324,0.287465868124,5.096871690429,8.103447187327,10.817730716290,851.673080791670,1201.462389717552,828.877773658181,1102.841706593589,6.488377566786,20.910000000000
12,9.200000,2.300000,11.500000,2.050000,10.234902511603,2.358706000002,0.735630262839,20.785592464230,0.277141232856,4.251140495267,6.821935241896,8.618352977405,736.486044344368,1027.674006342011,715.952227579653,936.742394890635,3.326953099499,20.910000000000
13,10.200000,2.600000,12.800000,3.500000,10.097414203889,2.264921717069,0.265004227800,20.506640645493,0.273421875273,4.176828862945,7.123088626324,8.884783124489,727.287929858944,1066.978776534752,706.918637909668,974.240244776811,1.301977135233,35.700000000000
14,11.300000,2.800000,14.100000,4.200000,10.156674019861,2.305033399353,0.649192230988,19.823280402349,0.264310405365,4.319913534253,7.235927634112,8.994480981964,745.131450078702,1081.948776154258,724.440450675497,988.533210349586,2.812237376931,42.840000000000
15,10.100000,2.600000,12.700000,1.700000,9.748359687179,2.038061645364,0.579545612759,19.213232388918,0.256176431852,4.714115756463,7.744400276142,9.992446118336,797.150136996682,1151.049041329145,775.466924826941,1054.582639672296,2.444254404253,17.340000000000
16,9.200000,2.300000,11.500000,1.650000,9.893445421628,2.130420672657,0.840515057886,18.328479696406,0.244379729285,4.310752364982,6.829153249789,8.958342540530,743.972434004440,1028.605025855099,723.302645758306,937.630106356365,4.037801918894,16.830000000000
17,9.600000,2.400000,12.000000,1.150000,9.879901205334,2.121682950075,0.680399908572,17.612269266330,0.234830256884,4.764132814612,7.527150226891,9.743248095340,804.050308062136,1121.196263958281,782.230092953729,1026.033362596934,2.990659353015,11.730000000000
18,9.200000,2.300000,11.500000,0.000000,9.795837699015,2.067985187654,0.829678313573,16.738923673095,0.223185648975,4.703413144478,8.034893729603,10.144184723192,795.682416748043,1191.733325996242,774.028195433175,1093.523963618624,3.959974247260,0.000000000000
19,8.900000,2.300000,11.200000,0.000000,9.765332075085,2.048725295405,0.875463836418,15.817382792655,0.210898437235,4.703733967792,7.669527491195,9.914826951575,795.726368414712,1140.705184567897,774.071279730416,1044.688019620728,4.295678794168,0.000000000000
20,6.800000,1.700000,8.500000,0.000000,10.633742094913,2.645337263780,0.775259699829,15.001319950730,0.200017599343,3.930331738002,6.439745825949,7.885256240449,697.844669585111,979.150954679785,677.981579275741,890.512479724089,3.584418689366,0.000000000000
21,5.400000,1.300000,6.700000,0.000000,10.952977348703,2.890808009952,-0.003469908420,15.004616363729,0.200061551516,3.813381547699,5.780896370673,7.228713643592,684.449179659487,899.069556310980,664.805003340718,814.384178086944,1.000051773137,0.000000000000
22,4.800000,1.300000,6.100000,0.000000,10.961891163446,2.897871597146,-0.004259781167,15.008663155837,0.200115508744,3.494151213607,5.507980164706,6.919353089449,649.764263633970,867.219646125881,630.648019709409,784.171765137645,1.000078026663,0.000000000000
23,2.800000,0.700000,3.500000,0.000000,10.980629897672,2.912758259875,0.006719572250,15.001589921890,0.200021198959,2.868555053797,3.537483633828,5.691920830789,589.771759842937,660.245761151948,571.394565902199,589.020859348980,1.000194156400,0.000000000000
