iteration,search_nfe,action,phase,best_cost,best_cv,best_fitness,feasible,feasible_fraction,cv_r,cv_soc,cv_e,cv_d,median_cv,normalized_diversity,improved,stagnation_iterations,requested_action,selector_fallback,selector_error_kind,selector_elapsed_seconds,llm_call_id
0,600,A1,feasibility,48196.223711877654,26.81938344048031,26867579.664192185,False,0.0,26.81938344048031,0.0,0.0,0.0,57.723585092645315,0.23567906052420362,False,0,A1,False,,0.0,
1,1200,A2,feasibility,47528.907949321976,21.03088240441877,21078411.31236809,False,0.0,21.03088240441877,0.0,0.0,0.0,65.68396392578363,0.2555735260368489,True,0,A2,False,,0.0,
2,1800,A2,feasibility,47540.62240452851,17.3469133044691,17394453.926873628,False,0.0,17.280583181048605,0.0,0.0663301234204952,0.0,40.84612000211041,0.20829413207571335,True,0,A2,False,,0.0,
3,2400,A2,feasibility,47081.61104297868,10.248740826164742,10295822.43720772,False,0.0,10.248740826164742,0.0,0.0,0.0,43.5908577964866,0.1914900532396482,True,0,A2,False,,0.0,
4,3000,A2,feasibility,46469.38788797123,8.935205482614043,8981674.870502014,False,0.0,8.935205482614043,0.0,0.0,0.0,43.27983344253039,0.19387022639340545,True,0,A2,False,,0.0,
5,3600,A2,feasibility,46469.38788797123,8.935205482614043,8981674.870502014,False,0.0,8.935205482614043,0.0,0.0,0.0,33.25785045229493,0.17336019931012445,False,0,A2,False,,0.0,
6,4200,A2,feasibility,47233.42251725887,8.832323070656347,8879556.493173607,False,0.0,8.832323070656347,0.0,0.0,0.0,30.109780426796537,0.1619048985266089,True,0,A2,False,,0.0,
7,4800,A2,feasibility,46607.238287286746,5.545506053087187,5592113.291374474,False,0.0,5.545506053087187,0.0,0.0,0.0,29.45702770168856,0.15619909695863043,True,0,A2,False,,0.0,
8,5400,A2,feasibility,46801.36541240195,5.058403643290564,5105205.008702966,False,0.0,5.058403643290564,0.0,0.0,0.0,26.772560741056626,0.14906423119703446,True,0,A2,False,,0.0,
9,6000,A2,feasibility,46590.49981722707,4.425232243363975,4471822.743181202,False,0.0,4.425232243363975,0.0,0.0,0.0,21.658091530762093,0.14286923294799456,True,0,A2,False,,0.0,
10,6600,A2,feasibility,46101.21533452848,3.139654612282634,3185755.827617163,False,0.0,3.139654612282634,0.0,0.0,0.0,20.1442972323332,0.1352920334192566,True,0,A2,False,,0.0,
11,7200,A2,feasibility,46433.04163174541,2.8593478735989972,2905780.9152307427,False,0.0,2.8593478735989972,0.0,0.0,0.0,20.459233095462377,0.1363627949329899,True,0,A2,False,,0.0,
12,7800,A2,feasibility,46295.78932714948,2.480753008594004,2527048.7979211533,False,0.0,2.480753008594004,0.0,0.0,0.0,17.550735507959626,0.12464518003515328,True,0,A2,False,,0.0,
13,8400,A2,feasibility,45188.66036884635,2.195704343900527,2240893.004269373,False,0.0,2.195704343900527,0.0,0.0,0.0,15.912638451131865,0.12584736649745473,True,0,A2,False,,0.0,
14,9000,A2,feasibility,45854.77548947923,1.2855061439634705,1331360.91945295,False,0.0,1.2855061439634705,0.0,0.0,0.0,15.72358678940634,0.12546552533179525,True,0,A2,False,,0.0,
15,9600,A2,feasibility,45548.65011813369,1.2596677418039806,1305216.3919221144,False,0.0,1.2596677418039806,0.0,0.0,0.0,15.232727950230547,0.12045981203199498,True,0,A2,False,,0.0,
16,10200,A2,feasibility,45568.8718687067,1.0250694291224804,1070638.300991187,False,0.0,1.0250694291224804,0.0,0.0,0.0,13.579626262530532,0.11541850675112625,True,0,A2,False,,0.0,
17,10800,A2,feasibility,45755.98677981911,0.5777452334857102,623501.2202655292,False,0.0,0.5777452334857102,0.0,0.0,0.0,12.115138002563663,0.11075059253693259,True,0,A2,False,,0.0,
18,11400,A2,feasibility,45755.98677981911,0.5777452334857102,623501.2202655292,False,0.0,0.5777452334857102,0.0,0.0,0.0,12.320577000607386,0.11087926574610918,False,0,A2,False,,0.0,
19,12000,A2,feasibility,46041.0818706688,0.38493186070431545,430972.9425749843,False,0.0,0.38493186070431545,0.0,0.0,0.0,10.80944750099508,0.1064729711548705,True,0,A2,False,,0.0,
20,12600,A2,feasibility,46055.61864509288,0.28068820266784156,326743.82131293445,False,0.0,0.28068820266784156,0.0,0.0,0.0,9.534835715690056,0.10142038702539219,True,0,A2,False,,0.0,
