method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
UniformRandom,12000,12,45194.06218121032,44771.03632976333,46405.428729305175
UniformRandom,12600,13,45134.65576458962,44735.66528303358,46366.14472500267
UniformRandom,13200,14,45100.80586173146,44777.779866066994,46303.44690738375
UniformRandom,13800,17,45000.39868850558,44715.94608982131,46304.11758598439
UniformRandom,14400,19,46048.309755795104,44640.382367124665,46234.26293624743
UniformRandom,15000,23,45985.037075499,44628.1463732841,46605.28323777983
UniformRandom,15600,25,45939.07859673799,44631.14092155575,46449.16116122031
UniformRandom,16200,26,45885.42339296593,44604.40914428959,46415.08395209155
UniformRandom,16800,27,45881.10078472608,44608.85244699492,46329.823273513495
UniformRandom,17400,27,45822.708046194966,44450.719490687545,46307.519896558995
UniformRandom,18000,27,45707.75371914743,44427.98970707173,46262.298166663306
UniformRandom,18600,28,45604.07118124189,44301.47400823358,46221.0504661287
UniformRandom,19200,28,45497.98007114737,44281.119683633944,46119.683378922295
UniformRandom,19800,29,45472.40776646327,44272.54436419311,46034.12132064061
UniformRandom,20400,29,45400.87592806088,44272.54436419311,46007.58089519289
UniformRandom,21000,29,45400.87592806088,44158.1931891788,45891.825324339385
UniformRandom,21600,29,45250.30145719461,44110.47268184972,45848.88308796349
UniformRandom,22200,30,45216.75640735475,44065.995205386986,45650.648641778454
UniformRandom,22800,30,45129.7830058665,44062.39946940313,45650.648641778454
UniformRandom,23400,30,45032.97056802356,44014.945150980035,45622.88337416476
UniformRandom,24000,30,45001.22778502124,43960.690323160525,45604.88911579568
UniformRandom,24600,30,44979.545506804636,43908.95841846672,45598.54799045437
UniformRandom,25200,30,44886.16913447402,43832.462421170145,45388.04066488595
UniformRandom,25800,30,44848.47246322701,43823.79898493641,45366.64180303152
UniformRandom,26400,30,44811.6799697931,43815.81757633564,45366.64180303152
UniformRandom,27000,30,44770.98660913578,43789.12593209806,45324.733228900346
UniformRandom,27600,30,44694.9838675949,43746.00594633753,45315.35964757287
UniformRandom,28200,30,44656.137770766,43698.536442362754,45314.974648442796
UniformRandom,28800,30,44584.91570415348,43693.06621273969,45284.4868675922
UniformRandom,29400,30,44529.32587144289,43653.02233273952,45212.485646646004
UniformRandom,30000,30,44505.31772025579,43618.334710960684,45108.23051204654
UniformRandom,30600,30,44466.61216306174,43525.35727617888,45021.52351911747
UniformRandom,31200,30,44443.92693325403,43489.39681142159,44979.77326391861
UniformRandom,31800,30,44381.01724088199,43486.704996435845,44882.5077984585
UniformRandom,32400,30,44322.576018974694,43460.32536696443,44817.05725168269
UniformRandom,33000,30,44301.41541828841,43426.08436079842,44747.53291649618
UniformRandom,33600,30,44234.04233112164,43423.47928253728,44731.52621256673
UniformRandom,34200,30,44209.48902198997,43420.35430596545,44702.62839754918
UniformRandom,34800,30,44140.806714740014,43410.12603865416,44626.47773844269
UniformRandom,35400,30,44133.52805827063,43406.53376594662,44563.261077534175
UniformRandom,36000,30,44109.94620412862,43399.872788548004,44563.261077534175
UniformRandom,36600,30,44083.812229318646,43397.21946405107,44550.242284192296
UniformRandom,37200,30,44035.47503755147,43379.129956502926,44518.804101589776
UniformRandom,37800,30,44012.577062238066,43345.7169214245,44513.347975519166
UniformRandom,38400,30,43992.62741279926,43338.26371555029,44513.347975519166
UniformRandom,39000,30,43926.75642568553,43314.53507261492,44487.65608833856
UniformRandom,39600,30,43874.831023060135,43314.083333690985,44463.98442094035
UniformRandom,40200,30,43812.982063501,43293.58198687439,44439.513550772
UniformRandom,40800,30,43766.16432233239,43255.01100240585,44410.44768350869
UniformRandom,41400,30,43759.75351957995,43243.16928203112,44355.9107541201
UniformRandom,42000,30,43744.297527752424,43230.415929900984,44256.746551836026
UniformRandom,42600,30,43705.110772781496,43227.70010827371,44203.433807580295
