comparison,candidate,reference,resolved_pairs,mcnemar_candidate_only,mcnemar_reference_only,mcnemar_p,joint_feasible_pairs,candidate_median,candidate_q25,candidate_q75,reference_median,reference_q25,reference_q75,median_difference,difference_ci_low,difference_ci_high,median_relative_difference,relative_ci_low,relative_ci_high,rank_biserial,wins,ties,losses,cost_inference_available,cost_analysis_status,wilcoxon_statistic,wilcoxon_p,auc_joint_feasible_pairs,auc_candidate_median,auc_candidate_q25,auc_candidate_q75,auc_reference_median,auc_reference_q25,auc_reference_q75,auc_median_difference,auc_difference_ci_low,auc_difference_ci_high,auc_median_relative_difference,auc_relative_ci_low,auc_relative_ci_high,auc_rank_biserial,auc_wins,auc_ties,auc_losses,auc_cost_inference_available,auc_cost_analysis_status,auc_wilcoxon_statistic,auc_wilcoxon_p,mcnemar_holm_p,wilcoxon_holm_p
A2-only vs A1-only,A2-only,A1-only,0,0,0,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,,
A3-only vs A1-only,A3-only,A1-only,0,0,0,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,,
A4-only vs A1-only,A4-only,A1-only,0,0,0,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,,
UniformRandom vs A1-only,UniformRandom,A1-only,0,0,0,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,,
Rule vs UniformRandom,Rule,UniformRandom,0,0,0,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,,
UCB1 vs UniformRandom,UCB1,UniformRandom,0,0,0,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,,
UCB1 vs A1-only,UCB1,A1-only,0,0,0,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,,
LLM-E vs UCB1,LLM-E,UCB1,0,0,0,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,,
LLM-EP vs LLM-E,LLM-EP,LLM-E,0,0,0,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,,
LLM-EP vs UCB1,LLM-EP,UCB1,0,0,0,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,False,descriptive_only,,,,
