iteration,population,epsilon,feasible_ratio,best_cost,minimum_cv
0,600,0.0,0.8316666666666667,44702.02812398077,0.0
1,599,0.0,0.8797996661101837,44702.02812398077,0.0
2,598,0.0,0.9347826086956522,44670.66678260086,0.0
3,596,0.0,0.964765100671141,44539.403161256254,0.0
4,595,0.0,0.9815126050420168,44539.403161256254,0.0
5,594,0.0,0.9932659932659933,44539.403161256254,0.0
6,593,0.0,0.9966273187183811,44502.39869675106,0.0
7,592,0.0,1.0,44356.417670876384,0.0
8,590,0.0,1.0,44246.13126783715,0.0
9,589,0.0,1.0,44210.84897162256,0.0
10,588,0.0,1.0,44158.96007059683,0.0
11,587,0.0,1.0,43725.32297308977,0.0
12,586,0.0,1.0,43673.005986939344,0.0
13,585,0.0,1.0,43673.005986939344,0.0
14,583,0.0,1.0,43477.11961822424,0.0
15,582,0.0,1.0,43477.11961822424,0.0
16,581,0.0,1.0,43418.60784416951,0.0
17,580,0.0,1.0,43223.04318034914,0.0
18,579,0.0,1.0,43223.04318034914,0.0
19,577,0.0,1.0,43157.167087495545,0.0
20,576,0.0,1.0,43040.57455371531,0.0
21,575,0.0,1.0,42904.223599246994,0.0
22,574,0.0,1.0,42736.53569708417,0.0
23,573,0.0,1.0,42736.53569708417,0.0
24,571,0.0,1.0,42736.53569708417,0.0
25,570,0.0,1.0,42733.62728227618,0.0
26,569,0.0,1.0,42733.365336307674,0.0
27,568,0.0,1.0,42680.65133333029,0.0
28,567,0.0,1.0,42680.65133333029,0.0
29,565,0.0,1.0,42680.65133333029,0.0
30,564,0.0,1.0,42668.895932580126,0.0
31,563,0.0,1.0,42640.032819019005,0.0
32,562,0.0,1.0,42633.74183535702,0.0
33,561,0.0,1.0,42633.74183535702,0.0
34,559,0.0,1.0,42633.74183535702,0.0
35,558,0.0,1.0,42606.88176793442,0.0
36,557,0.0,1.0,42606.88176793442,0.0
37,556,0.0,1.0,42606.88176793442,0.0
38,555,0.0,1.0,42606.88176793442,0.0
39,554,0.0,1.0,42591.17284069564,0.0
40,552,0.0,1.0,42591.17284069564,0.0
41,551,0.0,1.0,42591.17284069564,0.0
42,550,0.0,1.0,42572.09955147572,0.0
43,549,0.0,1.0,42572.09955147572,0.0
44,548,0.0,1.0,42572.09955147572,0.0
45,546,0.0,1.0,42572.09955147572,0.0
46,545,0.0,1.0,42572.09955147572,0.0
47,544,0.0,1.0,42572.09955147572,0.0
48,543,0.0,1.0,42560.777651187585,0.0
49,542,0.0,1.0,42554.840128233314,0.0
50,540,0.0,1.0,42523.89127140089,0.0
51,539,0.0,1.0,42523.89127140089,0.0
52,538,0.0,1.0,42523.89127140089,0.0
53,537,0.0,1.0,42523.89127140089,0.0
54,536,0.0,1.0,42521.72061171364,0.0
55,534,0.0,1.0,42516.50985141538,0.0
56,533,0.0,1.0,42515.626639364484,0.0
57,532,0.0,1.0,42515.626639364484,0.0
58,531,0.0,1.0,42497.68086560807,0.0
59,530,0.0,1.0,42496.717447851726,0.0
60,528,0.0,1.0,42489.99790120685,0.0
61,527,0.0,1.0,42481.40170045949,0.0
62,526,0.0,1.0,42479.545136928384,0.0
63,525,0.0,1.0,42473.155864725435,0.0
64,524,0.0,1.0,42463.601988899456,0.0
65,523,0.0,1.0,42461.02545595741,0.0
66,521,0.0,1.0,42459.67803696422,0.0
67,520,0.0,1.0,42459.67803696422,0.0
68,519,0.0,1.0,42452.94849338405,0.0
69,518,0.0,1.0,42436.58976047107,0.0
70,517,0.0,1.0,42436.58976047107,0.0
71,515,0.0,1.0,42436.58976047107,0.0
72,514,0.0,1.0,42435.76774817624,0.0
73,513,0.0,1.0,42429.47829495864,0.0
74,512,0.0,1.0,42426.28285405918,0.0
75,511,0.0,1.0,42419.34746131635,0.0
76,509,0.0,1.0,42419.34746131635,0.0
77,508,0.0,1.0,42419.34746131635,0.0
78,507,0.0,1.0,42416.83376432616,0.0
79,506,0.0,1.0,42413.57757368786,0.0
80,505,0.0,1.0,42413.57757368786,0.0
81,503,0.0,1.0,42408.979230738376,0.0
82,502,0.0,1.0,42408.979230738376,0.0
83,501,0.0,1.0,42406.85544244951,0.0
84,500,0.0,1.0,42403.953597375556,0.0
85,499,0.0,1.0,42397.94435099854,0.0
86,497,0.0,1.0,42397.336592156,0.0
87,496,0.0,1.0,42397.336592156,0.0
88,495,0.0,1.0,42397.336592156,0.0
89,494,0.0,1.0,42394.49631335779,0.0
90,493,0.0,1.0,42394.44405675937,0.0
91,492,0.0,1.0,42392.03553606242,0.0
92,490,0.0,1.0,42392.034117550706,0.0
93,489,0.0,1.0,42390.91611103587,0.0
94,488,0.0,1.0,42390.91611103587,0.0
95,487,0.0,1.0,42388.986630865926,0.0
96,486,0.0,1.0,42387.9147469261,0.0
97,484,0.0,1.0,42385.909357786004,0.0
98,483,0.0,1.0,42385.90813472199,0.0
99,482,0.0,1.0,42382.77907212895,0.0
