hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,soc,eeoi,reserve_energy_mwh,reserve_power_max_mw
0,5.500000000,1.400000000,0.000000000,10.701407110,2.696158000,3.834241088,5.761684440,0.000232472,37.499755292,0.499996737,7.399090116,,
1,7.300000000,1.900000000,0.000000000,10.119345558,2.279711870,4.323253572,6.963747027,0.192711271,37.296901323,0.497292018,8.852447574,0.000000000,0.000000000
2,7.900000000,2.000000000,0.000000000,10.036186164,2.223969396,4.427716040,7.207894525,0.488358831,36.782839396,0.490437859,9.152667731,0.000000000,0.000000000
3,9.700000000,2.400000000,0.000000000,9.707935173,2.012812327,4.749026726,8.041352731,1.322432871,35.390804795,0.471877397,10.273075942,0.000000000,0.000000000
4,10.200000000,2.600000000,0.000000000,9.619659222,1.958401544,4.844961598,8.274317507,1.639122439,33.665412754,0.448872170,10.609881365,0.000000000,0.000000000
5,12.100000000,3.100000000,0.600000000,9.405312724,1.830384805,5.093154960,8.892544827,2.444685018,31.092060103,0.414560801,11.525903082,0.000000000,0.000000000
6,13.000000000,3.300000000,1.050000000,9.332544025,1.788227720,5.187389720,9.113785836,2.737052164,28.210952562,0.376146034,11.870626128,0.000000000,0.000000000
7,12.000000000,3.000000000,1.400000000,9.528643989,1.903338288,4.955885080,8.539969583,2.007483625,26.097811904,0.347970825,10.996787507,0.000000000,0.000000000
8,12.100000000,3.000000000,2.250000000,9.621939801,1.959794737,4.841598337,8.218962311,1.749234090,24.256512862,0.323420171,10.563552257,0.000000000,0.000000000
9,11.300000000,2.900000000,1.550000000,9.624203663,1.961178372,4.839068546,8.245511002,1.526598823,22.649566732,0.301994223,10.579026759,0.000000000,0.000000000
10,9.200000000,2.300000000,1.650000000,10.053032470,2.235187379,4.390124793,7.168459928,0.526602658,22.095248145,0.294603309,9.087166104,0.000000000,0.000000000
11,11.500000000,3.000000000,2.050000000,9.650580743,1.977347626,4.821680498,8.230460469,1.375206658,20.647662189,0.275302163,10.526258461,0.000000000,0.000000000
12,9.200000000,2.300000000,2.050000000,10.115963641,2.277426973,4.337456059,7.014610526,0.375360388,20.252545990,0.270033947,8.897171736,0.000000000,0.000000000
13,10.200000000,2.600000000,3.500000000,10.107290253,2.271574023,4.351037922,7.019002560,0.201533540,20.040405422,0.267205406,8.916205112,0.000000000,0.000000000
14,11.300000000,2.800000000,4.200000000,10.013203792,2.208726014,4.433025234,7.236113138,0.439587643,19.577681587,0.261035754,9.195867316,0.000000000,0.000000000
15,10.100000000,2.600000000,1.700000000,9.873578243,2.117612037,4.571397016,7.614548694,0.931666328,18.596980189,0.247959736,9.677238236,0.000000000,0.000000000
16,9.200000000,2.300000000,1.650000000,10.034086842,2.222574089,4.429213701,7.232570416,0.410789972,18.164569693,0.242194263,9.171914437,0.000000000,0.000000000
17,9.600000000,2.400000000,1.150000000,9.884424598,2.124598444,4.571110895,7.560633876,0.842853674,17.277355299,0.230364737,9.629086928,0.000000000,0.000000000
18,9.200000000,2.300000000,0.000000000,9.813277258,2.079049783,4.640765527,7.786918600,1.151365655,16.065391452,0.214205219,9.905468494,0.000000000,0.000000000
19,8.900000000,2.300000000,0.000000000,9.831975738,2.090956873,4.610016203,7.674977817,1.005962854,15.006483185,0.200086442,9.786749748,0.000000000,0.000000000
20,6.800000000,1.700000000,0.000000000,10.260492336,2.376442342,4.209814761,6.660629280,0.005998301,15.000169184,0.200002256,8.471141500,0.000000000,0.000000000
21,5.400000000,1.300000000,0.000000000,10.741272313,2.726401812,3.798437626,5.627811051,0.000153135,15.000007990,0.200000107,7.279737645,0.000000000,0.000000000
22,4.800000000,1.300000000,0.000000000,10.923644345,2.867644666,3.661933882,5.305704378,0.000006407,15.000001246,0.200000017,6.919689511,0.000000000,0.000000000
23,2.800000000,0.700000000,0.000000000,11.000000000,2.928200000,2.942389975,3.485811685,-0.000001660,15.000002822,0.200000038,5.689381650,,
