strategy,seed,cost,cv_base,cv_res,feasible,runtime_seconds,reserve_energy_max_mwh,reserve_power_max_mw
no_reserve,20260826,42356.922538938,0.000e+00,0.000e+00,true,11.988,0.000000000,0.000000000
no_reserve,20260827,42356.880167616,0.000e+00,0.000e+00,true,11.774,0.000000000,0.000000000
no_reserve,20260828,42357.092981251,0.000e+00,0.000e+00,true,11.763,0.000000000,0.000000000
no_reserve,20260829,42356.956137894,0.000e+00,0.000e+00,true,11.858,0.000000000,0.000000000
no_reserve,20260830,42356.838449058,0.000e+00,0.000e+00,true,11.810,0.000000000,0.000000000
dynamic_reserve,20260826,42356.922538938,0.000e+00,0.000e+00,true,12.271,0.000000000,0.000000000
dynamic_reserve,20260827,42356.880167616,0.000e+00,0.000e+00,true,11.999,0.000000000,0.000000000
dynamic_reserve,20260828,42357.092981251,0.000e+00,0.000e+00,true,12.117,0.000000000,0.000000000
dynamic_reserve,20260829,42356.956137894,0.000e+00,0.000e+00,true,12.096,0.000000000,0.000000000
dynamic_reserve,20260830,42356.838449058,0.000e+00,0.000e+00,true,11.987,0.000000000,0.000000000
