iteration,population,epsilon,feasible_ratio,best_cost,minimum_cv
0,600,0.0,0.8433333333333334,44909.35950906413,0.0
1,599,0.0,0.8898163606010017,44909.35950906413,0.0
2,598,0.0,0.9364548494983278,44871.808191766366,0.0
3,596,0.0,0.9614093959731543,44867.82121122925,0.0
4,595,0.0,0.9764705882352941,44833.61388208539,0.0
5,594,0.0,0.9831649831649831,44833.61388208539,0.0
6,593,0.0,0.9865092748735245,44833.61388208539,0.0
7,592,0.0,0.9949324324324325,44826.212206299286,0.0
8,590,0.0,1.0,44819.564648528816,0.0
9,589,0.0,1.0,44816.07504008322,0.0
10,588,0.0,1.0,44802.950238005535,0.0
11,587,0.0,1.0,44784.92657410395,0.0
12,586,0.0,1.0,44784.92657410395,0.0
13,585,0.0,1.0,44784.92657410395,0.0
14,583,0.0,1.0,44784.92657410395,0.0
15,582,0.0,1.0,44784.92657410395,0.0
16,581,0.0,1.0,44779.46850411729,0.0
17,580,0.0,1.0,44775.03761441015,0.0
18,579,0.0,1.0,44774.28270745566,0.0
19,577,0.0,1.0,44768.80765112272,0.0
20,576,0.0,1.0,44739.80813596933,0.0
21,575,0.0,1.0,44739.80813596933,0.0
22,574,0.0,1.0,44739.80813596933,0.0
23,573,0.0,1.0,44739.80813596933,0.0
24,571,0.0,1.0,44739.80813596933,0.0
25,570,0.0,1.0,44739.80813596933,0.0
26,569,0.0,1.0,44739.80813596933,0.0
27,568,0.0,1.0,44739.40289550119,0.0
28,567,0.0,1.0,44739.40289550119,0.0
29,565,0.0,1.0,44727.26517218754,0.0
30,564,0.0,1.0,44720.4417575796,0.0
31,563,0.0,1.0,44720.4417575796,0.0
32,562,0.0,1.0,44720.4417575796,0.0
33,561,0.0,1.0,44720.4417575796,0.0
34,559,0.0,1.0,44716.57572945781,0.0
35,558,0.0,1.0,44709.60872495723,0.0
36,557,0.0,1.0,44709.60872495723,0.0
37,556,0.0,1.0,44703.37406673636,0.0
38,555,0.0,1.0,44697.485310493386,0.0
39,554,0.0,1.0,44688.48208810971,0.0
40,552,0.0,1.0,44688.48208810971,0.0
41,551,0.0,1.0,44686.194242589176,0.0
42,550,0.0,1.0,44686.194242589176,0.0
43,549,0.0,1.0,44686.194242589176,0.0
44,548,0.0,1.0,44686.194242589176,0.0
45,546,0.0,1.0,44686.194242589176,0.0
46,545,0.0,1.0,44680.69491622592,0.0
47,544,0.0,1.0,44680.69491622592,0.0
48,543,0.0,1.0,44678.347964734705,0.0
49,542,0.0,1.0,44678.347964734705,0.0
50,540,0.0,1.0,44676.182107530505,0.0
51,539,0.0,1.0,44673.5920738594,0.0
52,538,0.0,1.0,44673.5920738594,0.0
53,537,0.0,1.0,44671.25623456984,0.0
54,536,0.0,1.0,44664.80261137492,0.0
55,534,0.0,1.0,44657.938222310266,0.0
56,533,0.0,1.0,44657.938222310266,0.0
57,532,0.0,1.0,44657.938222310266,0.0
58,531,0.0,1.0,44657.938222310266,0.0
59,530,0.0,1.0,44656.93860129892,0.0
60,528,0.0,1.0,44651.731502287075,0.0
61,527,0.0,1.0,44651.731502287075,0.0
62,526,0.0,1.0,44651.731502287075,0.0
63,525,0.0,1.0,44650.62789739958,0.0
64,524,0.0,1.0,44650.62789739958,0.0
65,523,0.0,1.0,44646.7951135334,0.0
66,521,0.0,1.0,44643.811442191145,0.0
67,520,0.0,1.0,44643.811442191145,0.0
68,519,0.0,1.0,44642.99033212624,0.0
69,518,0.0,1.0,44642.10049744905,0.0
70,517,0.0,1.0,44639.564625711566,0.0
71,515,0.0,1.0,44639.38196464343,0.0
72,514,0.0,1.0,44639.38196464343,0.0
73,513,0.0,1.0,44637.3338091035,0.0
74,512,0.0,1.0,44635.74933993672,0.0
75,511,0.0,1.0,44634.67874822619,0.0
76,509,0.0,1.0,44632.88851838137,0.0
77,508,0.0,1.0,44631.39548980746,0.0
78,507,0.0,1.0,44631.12224664149,0.0
79,506,0.0,1.0,44630.41753216861,0.0
80,505,0.0,1.0,44630.41753216861,0.0
81,503,0.0,1.0,44630.41753216861,0.0
82,502,0.0,1.0,44629.37264425415,0.0
83,501,0.0,1.0,44627.995633314626,0.0
84,500,0.0,1.0,44627.71729895416,0.0
85,499,0.0,1.0,44627.072590695694,0.0
86,497,0.0,1.0,44626.92728705506,0.0
87,496,0.0,1.0,44626.094855019335,0.0
88,495,0.0,1.0,44625.58154911909,0.0
89,494,0.0,1.0,44625.41520978,0.0
90,493,0.0,1.0,44625.037206446155,0.0
91,492,0.0,1.0,44624.03534973561,0.0
92,490,0.0,1.0,44623.59007308404,0.0
93,489,0.0,1.0,44623.58005051697,0.0
94,488,0.0,1.0,44622.777753631075,0.0
95,487,0.0,1.0,44622.777753631075,0.0
96,486,0.0,1.0,44621.88990801,0.0
97,484,0.0,1.0,44621.48468932354,0.0
98,483,0.0,1.0,44621.48468932354,0.0
99,482,0.0,1.0,44620.69128636544,0.0
100,481,0.0,1.0,44620.69128636544,0.0
101,480,0.0,1.0,44620.342804986125,0.0
102,478,0.0,1.0,44620.11068243932,0.0
103,477,0.0,1.0,44619.954190509474,0.0
104,476,0.0,1.0,44619.66275322088,0.0
105,475,0.0,1.0,44619.2934665612,0.0
106,474,0.0,1.0,44619.01945319243,0.0
107,472,0.0,1.0,44619.01945319243,0.0
108,471,0.0,1.0,44618.52872390159,0.0
109,470,0.0,1.0,44618.234210850234,0.0
110,469,0.0,1.0,44618.234210850234,0.0
111,468,0.0,1.0,44617.8820266558,0.0
112,466,0.0,1.0,44617.85326678233,0.0
113,465,0.0,1.0,44617.68822369648,0.0
114,464,0.0,1.0,44617.43848931267,0.0
115,463,0.0,1.0,44617.43848931267,0.0
116,462,0.0,1.0,44617.07046826578,0.0
117,461,0.0,1.0,44616.66286294481,0.0
118,459,0.0,1.0,44616.66286294481,0.0
119,458,0.0,1.0,44616.65605535498,0.0
120,457,0.0,1.0,44616.65605535498,0.0
121,456,0.0,1.0,44616.16904560237,0.0
122,455,0.0,1.0,44616.16904560237,0.0
123,453,0.0,1.0,44616.02263798116,0.0
124,452,0.0,1.0,44616.02263798116,0.0
125,451,0.0,1.0,44615.936554636704,0.0
126,450,0.0,1.0,44615.7977351709,0.0
127,449,0.0,1.0,44615.62525849436,0.0
128,447,0.0,1.0,44615.40205335735,0.0
129,446,0.0,1.0,44615.40205335735,0.0
130,445,0.0,1.0,44615.08497141267,0.0
131,444,0.0,1.0,44615.052293705485,0.0
132,443,0.0,1.0,44614.54232552112,0.0
133,441,0.0,1.0,44614.54232552112,0.0
134,440,0.0,1.0,44614.54232552112,0.0
135,439,0.0,1.0,44614.54232552112,0.0
136,438,0.0,1.0,44614.35796798533,0.0
137,437,0.0,1.0,44614.21802587255,0.0
138,436,0.0,1.0,44613.69358715303,0.0
139,434,0.0,1.0,44613.69358715303,0.0
140,433,0.0,1.0,44613.5401045459,0.0
141,432,0.0,1.0,44613.5401045459,0.0
142,431,0.0,1.0,44613.5401045459,0.0
143,430,0.0,1.0,44613.529276737885,0.0
144,428,0.0,1.0,44613.338894153174,0.0
145,427,0.0,1.0,44613.146384570195,0.0
146,426,0.0,1.0,44613.030019564496,0.0
147,425,0.0,1.0,44612.970962767526,0.0
148,424,0.0,1.0,44612.872107886935,0.0
149,422,0.0,1.0,44612.65613748162,0.0
150,421,0.0,1.0,44612.63341246806,0.0
151,420,0.0,1.0,44612.4538514968,0.0
152,419,0.0,1.0,44612.44151544212,0.0
153,418,0.0,1.0,44612.27930240235,0.0
154,416,0.0,1.0,44612.178013635,0.0
155,415,0.0,1.0,44612.03504918818,0.0
156,414,0.0,1.0,44611.951239896225,0.0
157,413,0.0,1.0,44611.81035702603,0.0
158,412,0.0,1.0,44611.75367596968,0.0
159,410,0.0,1.0,44611.70587445063,0.0
160,409,0.0,1.0,44611.66290264798,0.0
161,408,0.0,1.0,44611.545755725456,0.0
162,407,0.0,1.0,44611.50670106576,0.0
163,406,0.0,1.0,44611.36466998154,0.0
164,405,0.0,1.0,44611.236347851955,0.0
165,403,0.0,1.0,44611.14846950967,0.0
166,402,0.0,1.0,44611.09004745638,0.0
167,401,0.0,1.0,44611.09004745638,0.0
168,400,0.0,1.0,44611.00927056208,0.0
169,399,0.0,1.0,44611.00927056208,0.0
170,397,0.0,1.0,44610.90854718069,0.0
171,396,0.0,1.0,44610.8187093615,0.0
172,395,0.0,1.0,44610.72225093625,0.0
173,394,0.0,1.0,44610.696822211576,0.0
174,393,0.0,1.0,44610.64195463572,0.0
175,391,0.0,1.0,44610.574445392536,0.0
176,390,0.0,1.0,44610.574445392536,0.0
177,389,0.0,1.0,44610.53236992147,0.0
178,388,0.0,1.0,44610.501545992694,0.0
179,387,0.0,1.0,44610.43139662518,0.0
180,385,0.0,1.0,44610.23436507495,0.0
181,384,0.0,1.0,44610.23436507495,0.0
182,383,0.0,1.0,44610.23038662549,0.0
183,382,0.0,1.0,44610.20640634938,0.0
184,381,0.0,1.0,44610.139593129716,0.0
185,379,0.0,1.0,44610.13716512531,0.0
186,378,0.0,1.0,44610.023418711164,0.0
187,377,0.0,1.0,44610.0224390716,0.0
188,376,0.0,1.0,44609.97254641792,0.0
189,375,0.0,1.0,44609.868350822275,0.0
190,374,0.0,1.0,44609.868350822275,0.0
191,372,0.0,1.0,44609.836764219544,0.0
192,371,0.0,1.0,44609.77809069224,0.0
193,370,0.0,1.0,44609.75098509746,0.0
194,369,0.0,1.0,44609.73861657125,0.0
195,368,0.0,1.0,44609.64762040826,0.0
