hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,soc,eeoi,reserve_energy_mwh,reserve_power_max_mw
0,5.500000000,1.400000000,0.000000000,10.566374631,2.595378451,4.121751796,6.428991842,-1.055365187,8.502596928,0.566839795,8.036694150,,
1,7.300000000,1.900000000,0.000000000,10.233629478,2.357825971,4.433875501,7.280496094,-0.156545624,8.651315270,0.576754351,9.027279497,0.000000000,0.000000000
2,7.900000000,2.000000000,0.000000000,10.089769918,2.259781608,4.567294148,7.594199043,-0.001711584,8.652941275,0.576862752,9.453349990,0.000000000,0.000000000
3,9.700000000,2.400000000,0.000000000,9.614294064,1.955126602,5.065606625,8.854731806,0.134788172,8.511058988,0.567403933,11.224735430,0.000000000,0.000000000
4,10.200000000,2.600000000,0.000000000,9.555834957,1.919678945,5.166003429,9.052530187,0.501145329,7.983537590,0.532235839,11.527618747,0.000000000,0.000000000
5,12.100000000,3.100000000,0.600000000,9.316135533,1.778812101,5.426136290,9.692120134,1.260555676,6.656636878,0.443775792,12.571508956,0.000000000,0.000000000
6,13.000000000,3.300000000,1.050000000,9.250336928,1.741387149,5.523711380,9.991743325,1.475932444,5.103023778,0.340201585,13.003870215,0.000000000,0.000000000
7,12.000000000,3.000000000,1.400000000,9.464811499,1.865342511,5.276676268,9.341258670,0.847407572,4.211015808,0.280734387,11.961103896,0.000000000,0.000000000
8,12.100000000,3.000000000,2.250000000,9.511237831,1.892926735,5.191210035,9.175333571,0.376383129,3.814823040,0.254321536,11.700156694,0.000000000,0.000000000
9,11.300000000,2.900000000,1.550000000,9.568604938,1.927385348,5.153520003,9.016085087,0.407780257,3.385580664,0.225705378,11.473555615,0.000000000,0.000000000
10,9.200000000,2.300000000,1.650000000,10.091855129,2.261182956,4.566452071,7.547561939,-0.002831054,3.388270165,0.225884678,9.419245640,0.000000000,0.000000000
11,11.500000000,3.000000000,2.050000000,9.609055992,1.951932759,5.119047134,8.926433409,0.356452216,3.013057305,0.200870487,11.328004586,0.000000000,0.000000000
12,9.200000000,2.300000000,2.050000000,10.193660590,2.330307260,4.465026910,7.315038714,0.000241636,3.012802952,0.200853530,9.105245829,0.000000000,0.000000000
13,10.200000000,2.600000000,3.500000000,10.235206650,2.358916279,4.444947035,7.221236981,-0.007267738,3.019707303,0.201313820,8.994292102,0.000000000,0.000000000
14,11.300000000,2.800000000,4.200000000,10.065748124,2.243679693,4.572084073,7.571586301,0.000009320,3.019697493,0.201313166,9.463710816,0.000000000,0.000000000
15,10.100000000,2.600000000,1.700000000,9.834346158,2.092469582,4.839242837,8.253244489,-0.000017744,3.019714350,0.201314290,10.358750189,0.000000000,0.000000000
16,9.200000000,2.300000000,1.650000000,10.100014525,2.266671979,4.568133838,7.552301442,-0.003763301,3.023289486,0.201552632,9.415949281,0.000000000,0.000000000
17,9.600000000,2.400000000,1.150000000,9.862407313,2.110432591,4.795796724,8.164353560,0.000282307,3.022992320,0.201532821,10.233813017,0.000000000,0.000000000
18,9.200000000,2.300000000,0.000000000,9.716351844,2.018052124,4.971948853,8.524338847,0.021764424,3.000082400,0.200005493,10.784446301,0.000000000,0.000000000
19,8.900000000,2.300000000,0.000000000,9.784752423,2.060972540,4.895811159,8.365153940,0.000007441,3.000074567,0.200004971,10.534718542,0.000000000,0.000000000
20,6.800000000,1.700000000,0.000000000,10.410224664,2.482006916,4.237181708,6.744828508,-0.000003300,3.000077703,0.200005180,8.417248891,0.000000000,0.000000000
21,5.400000000,1.300000000,0.000000000,10.925346812,2.868985656,3.832487475,5.736426736,0.000071444,3.000002498,0.200000167,7.232902501,0.000000000,0.000000000
22,4.800000000,1.300000000,0.000000000,11.000000000,2.928200000,3.683704904,5.344497181,-0.000002085,3.000004479,0.200000299,6.902452594,0.000000000,0.000000000
23,2.800000000,0.700000000,0.000000000,11.000000000,2.928200000,2.931071366,3.497172733,-0.000044099,3.000046373,0.200003092,5.689658102,,
