strategy,seed,cost,cv_base,cv_res,feasible,runtime_seconds,reserve_energy_max_mwh,reserve_power_max_mw
no_reserve,20260826,44608.582638885,0.000e+00,0.000e+00,true,11.942,0.000000000,0.000000000
no_reserve,20260827,44608.350710788,0.000e+00,0.000e+00,true,11.663,0.000000000,0.000000000
no_reserve,20260828,44608.604117696,0.000e+00,0.000e+00,true,11.231,0.000000000,0.000000000
no_reserve,20260829,44608.201609839,0.000e+00,0.000e+00,true,10.763,0.000000000,0.000000000
no_reserve,20260830,44608.652100531,0.000e+00,0.000e+00,true,17.830,0.000000000,0.000000000
dynamic_reserve,20260826,44608.211544581,0.000e+00,0.000e+00,true,10.926,0.000000000,0.000000000
dynamic_reserve,20260827,44608.663667236,0.000e+00,0.000e+00,true,10.739,0.000000000,0.000000000
dynamic_reserve,20260828,44608.210150240,0.000e+00,0.000e+00,true,10.420,0.000000000,0.000000000
dynamic_reserve,20260829,44608.840078437,0.000e+00,0.000e+00,true,15.473,0.000000000,0.000000000
dynamic_reserve,20260830,44608.860311686,0.000e+00,0.000e+00,true,11.229,0.000000000,0.000000000
