iteration,population,epsilon,feasible_ratio,best_cost,minimum_cv
0,600,1.3985097517564766,0.0,nan,0.49118748116336575
1,599,1.4684352393453006,0.0,nan,0.5240541264425089
2,598,1.5418570013135657,0.0,nan,0.49247882527706777
3,596,1.6189498513802443,0.0,nan,0.37283062596410743
4,595,1.6998973439502567,0.0,nan,0.10476184469499554
5,594,1.7848922111487697,0.0,nan,0.37518449163297224
6,593,1.8741368217072083,0.0,nan,0.32814258751789965
7,592,1.967843662793569,0.0,nan,0.24408691086637244
8,590,2.0662358459342474,0.0,nan,0.2570196562425132
9,589,2.16954763823196,0.0,nan,0.22701649292249568
10,588,2.278025020144558,0.0,nan,0.19365549183343447
11,587,2.391926271152786,0.0,nan,0.386946153144032
12,586,2.5115225847114258,0.0,nan,0.258078452235474
13,585,2.637098713947997,0.0,nan,0.4841664644561386
14,583,2.7689536496463973,0.0,nan,0.4885656686689302
15,582,2.9074013321297176,0.0,nan,0.495135274525289
16,581,3.0527713987372036,0.0,nan,0.6689178920120213
17,580,3.205409968675064,0.0,nan,0.8200681978734776
18,579,3.3656804671098177,0.0,nan,0.8282360114288863
19,577,3.533964490466309,0.0,nan,1.0810379373529657
20,576,3.7106627149906246,0.0,nan,1.1381459347455452
21,575,3.8961958507411563,0.0,nan,1.1405484647679136
22,574,4.091005643279214,0.0,nan,1.2270748467997206
23,573,4.295555925444175,0.0,nan,1.4445376928517606
24,571,4.334075164352811,0.0,nan,1.811725997811323
25,570,4.334075164352811,0.0,nan,1.7853118027099115
26,569,4.334075164352811,0.0,nan,1.9196071678710473
27,568,4.334075164352811,0.0,nan,2.1208606516484494
28,567,4.334075164352811,0.0,nan,2.005642322839987
29,565,4.334075164352811,0.0,nan,2.0222531020547247
30,564,4.334075164352811,0.0,nan,2.039446715627874
31,563,4.334075164352811,0.0,nan,2.0572231635594354
32,562,4.334075164352811,0.0,nan,2.5232758813923657
33,561,4.334075164352811,0.0,nan,2.4009435274801447
34,559,4.334075164352811,0.0,nan,2.085003334716092
35,558,4.334075164352811,0.0,nan,2.102128048991158
36,557,4.334075164352811,0.0,nan,2.4686141451186003
37,556,4.334075164352811,0.0,nan,2.7557825105180846
38,555,4.334075164352811,0.0,nan,2.3711050568100602
39,554,4.334075164352811,0.0,nan,2.3971674168221098
40,552,4.334075164352811,0.0,nan,2.2602103177897903
41,551,4.334075164352811,0.0,nan,1.8502599454637667
42,550,4.334075164352811,0.0,nan,2.5442243237492823
43,549,4.334075164352811,0.0,nan,2.108046046375248
44,548,4.334075164352811,0.0,nan,2.3861419697290405
45,546,4.334075164352811,0.0,nan,2.418570917834819
46,545,4.334075164352811,0.0,nan,2.228268049917007
47,544,4.334075164352811,0.0,nan,2.124393250250973
48,543,4.334075164352811,0.0,nan,2.112858329582656
49,542,4.334075164352811,0.0,nan,1.3454588499922981
50,540,4.334075164352811,0.0,nan,1.3583301292790093
51,539,4.334075164352811,0.0,nan,1.876239829841762
52,538,4.334075164352811,0.0,nan,2.4956718806924068
53,537,4.334075164352811,0.0,nan,2.2850684109825323
54,536,4.334075164352811,0.0,nan,2.412864087098631
55,534,4.334075164352811,0.0,nan,2.3778010774168514
56,533,4.334075164352811,0.0,nan,2.3703693706096214
57,532,4.334075164352811,0.0,nan,2.6294992160165283
58,531,4.334075164352811,0.0,nan,2.1275064638260606
59,530,4.334075164352811,0.0,nan,1.1587074080205793
60,528,4.334075164352811,0.0,nan,1.036871898105391
61,527,4.334075164352811,0.0,nan,1.4725821848735554
62,526,4.334075164352811,0.0,nan,2.0860449101184644
63,525,4.334075164352811,0.0,nan,1.6885667122391406
64,524,4.334075164352811,0.0,nan,2.140320020758752
65,523,4.334075164352811,0.0,nan,2.0792351808523497
66,521,4.334075164352811,0.0,nan,1.8688653041982672
67,520,4.334075164352811,0.0,nan,2.1275570786556814
68,519,4.334075164352811,0.0,nan,1.9372303098341972
69,518,4.334075164352811,0.0,nan,1.9530820968326954
70,517,4.334075164352811,0.0,nan,2.054068109036559
71,515,4.334075164352811,0.0,nan,2.4868566917478954
72,514,4.334075164352811,0.0,nan,2.5082089758174217
73,513,4.334075164352811,0.0,nan,2.529859893230578
74,512,4.334075164352811,0.0,nan,2.4061351872504604
75,511,4.334075164352811,0.0,nan,1.852097951028832
76,509,4.334075164352811,0.0,nan,1.7839429257449444
77,508,4.334075164352811,0.0,nan,1.7989053402154762
78,507,4.334075164352811,0.0,nan,1.421599819896695
79,506,4.334075164352811,0.0,nan,1.6550649557090185
80,505,4.334075164352811,0.0,nan,1.7962920286458997
81,503,4.334075164352811,0.0,nan,2.0312438093074006
82,502,4.334075164352811,0.0,nan,2.1462680027104253
83,501,4.334075164352811,0.0,nan,2.2409356146385724
84,500,4.334075164352811,0.0,nan,2.259829013823693
85,499,4.334075164352811,0.0,nan,1.6843461369460289
86,497,4.334075164352811,0.0,nan,1.557681083054776
87,496,4.334075164352811,0.0,nan,2.000738266625687
88,495,4.334075164352811,0.0,nan,2.19471184241182
89,494,4.334075164352811,0.0,nan,2.132273687160691
90,493,4.334075164352811,0.0,nan,2.1472363912879064
91,492,4.334075164352811,0.0,nan,1.7406024407748895
92,490,4.334075164352811,0.0,nan,2.3009644133387583
93,489,4.334075164352811,0.0,nan,2.036001920267918
94,488,4.334075164352811,0.0,nan,2.052352751604861
95,487,4.334075164352811,0.0,nan,1.9166674900615281
96,486,4.334075164352811,0.0,nan,1.9281539971500425
97,484,4.334075164352811,0.0,nan,1.3699699827976832
98,483,4.334075164352811,0.0,nan,2.383898009462098
99,482,4.334075164352811,0.0,nan,2.111505232814243
100,481,4.334075164352811,0.0,nan,2.2623760198545035
101,480,4.334075164352811,0.0,nan,2.279524297145299
102,478,4.334075164352811,0.0,nan,2.0931692925650514
103,477,4.334075164352811,0.0,nan,2.3501827516423246
104,476,4.334075164352811,0.0,nan,1.8993750946598196
105,475,4.334075164352811,0.0,nan,1.9118895257919057
106,474,4.334075164352811,0.0,nan,1.9139654847111927
107,472,4.334075164352811,0.0,nan,1.5996130172979908
108,471,4.334075164352811,0.0,nan,1.011027584972877
109,470,4.334075164352811,0.0,nan,1.6183508225854215
110,469,4.334075164352811,0.0,nan,2.301777722857345
111,468,4.334075164352811,0.0,nan,1.7772886647168935
112,466,4.334075164352811,0.0,nan,1.7514578198373272
113,465,4.334075164352811,0.0,nan,1.7614867574543527
114,464,4.334075164352811,0.0,nan,1.8062820995224014
115,463,4.334075164352811,0.0,nan,1.8161183907378993
116,462,4.334075164352811,0.0,nan,1.988319800936035
117,461,4.334075164352811,0.0,nan,1.8402454343683392
118,459,4.334075164352811,0.0,nan,2.0116276854651605
119,458,4.334075164352811,0.0,nan,2.0082810257407893
120,457,4.334075164352811,0.0,nan,1.8905233290706176
121,456,4.334075164352811,0.0,nan,2.0178260696656856
122,455,4.334075164352811,0.0,nan,2.024896155296126
123,453,4.334075164352811,0.0,nan,1.933421253040628
124,452,4.334075164352811,0.0,nan,2.185177755335333
125,451,4.334075164352811,0.0,nan,1.9939217063555539
126,450,4.334075164352811,0.0,nan,1.6175135589634324
127,449,4.334075164352811,0.0,nan,1.9253299725849653
128,447,4.334075164352811,0.0,nan,1.749246624948277
129,446,4.334075164352811,0.0,nan,1.3539725749139935
130,445,4.334075164352811,0.0,nan,1.9624509820465805
131,444,4.334075164352811,0.0,nan,1.9750172381678277
132,443,4.334075164352811,0.0,nan,1.5078463290812207
133,441,4.334075164352811,0.0,nan,1.51697554292582
134,440,4.334075164352811,0.0,nan,2.053015759617769
135,439,4.334075164352811,0.0,nan,1.9015828280687344
136,438,4.334075164352811,0.0,nan,1.6219254148320825
137,437,4.334075164352811,0.0,nan,1.630508504799998
138,436,4.334075164352811,0.0,nan,1.5210215532677813
139,434,4.334075164352811,0.0,nan,1.7413461746695411
140,433,4.334075164352811,0.0,nan,1.7510578922581541
141,432,4.334075164352811,0.0,nan,1.7608392278939968
