iteration,population,epsilon,feasible_ratio,best_cost,minimum_cv,best_cv,total_load_shedding,peak_load_shedding,minimum_ess_energy
0,600,0.4642506501884306,0.0016666666666666668,24836.813190617817,0.0,0.0,1.4391291167919973,1.278955892941898,3.0
1,599,0.48746318269885214,0.001669449081803005,24836.813190617817,0.0,0.0,1.4391291167919973,1.278955892941898,3.0
2,598,0.5118363418347948,0.0016722408026755853,24836.813190617817,0.0,0.0,1.4391291167919973,1.278955892941898,3.0
3,596,0.5374281589275345,0.0016778523489932886,24836.813190617817,0.0,0.0,1.4391291167919973,1.278955892941898,3.0
4,595,0.5642995668749112,0.0,24836.813190617817,0.09739531467734798,0.0,1.4391291167919973,1.278955892941898,3.0
5,594,0.5925145452196567,0.0,24836.813190617817,0.09739531467734798,0.0,1.4391291167919973,1.278955892941898,3.0
6,593,0.6221402724816396,0.0,24836.813190617817,0.16735761338187005,0.0,1.4391291167919973,1.278955892941898,3.0
7,592,0.6532472861067216,0.0,24836.813190617817,0.16735761338187005,0.0,1.4391291167919973,1.278955892941898,3.0
8,590,0.6859096504130576,0.0,24836.813190617817,0.19118509243198586,0.0,1.4391291167919973,1.278955892941898,3.0
9,589,0.7202051329347106,0.0,24836.813190617817,0.170409291549692,0.0,1.4391291167919973,1.278955892941898,3.0
10,588,0.756215389582446,0.0,24836.813190617817,0.21291031175145078,0.0,1.4391291167919973,1.278955892941898,3.0
11,587,0.7940261590625683,0.0,24836.813190617817,0.222348278377486,0.0,1.4391291167919973,1.278955892941898,3.0
12,586,0.8337274670166968,0.0,24836.813190617817,0.20177468639387203,0.0,1.4391291167919973,1.278955892941898,3.0
13,585,0.8754138403685316,0.0,24836.813190617817,0.23314428113361685,0.0,1.4391291167919973,1.278955892941898,3.0
14,583,0.9191845323879583,0.0,24836.813190617817,0.23314428113361685,0.0,1.4391291167919973,1.278955892941898,3.0
15,582,0.9651437590083563,0.0,24836.813190617817,0.26590437429335506,0.0,1.4391291167919973,1.278955892941898,3.0
16,581,1.0134009469597742,0.0,24836.813190617817,0.33100153284247075,0.0,1.4391291167919973,1.278955892941898,3.0
17,580,1.0640709943087632,0.0,24836.813190617817,0.33100153284247075,0.0,1.4391291167919973,1.278955892941898,3.0
18,579,1.1172745440252014,0.0,24836.813190617817,0.3527587628730156,0.0,1.4391291167919973,1.278955892941898,3.0
19,577,1.1731382712274616,0.0,24836.813190617817,0.37270940210207165,0.0,1.4391291167919973,1.278955892941898,3.0
20,576,1.2317951847898347,0.0,24836.813190617817,0.3913759746415085,0.0,1.4391291167919973,1.278955892941898,3.0
21,575,1.2933849440303267,0.0,24836.813190617817,0.3913759746415085,0.0,1.4391291167919973,1.278955892941898,3.0
22,574,1.3580541912328432,0.0,24836.813190617817,0.44307661588913066,0.0,1.4391291167919973,1.278955892941898,3.0
23,573,1.4259569007954855,0.0,24836.813190617817,0.5177052475573312,0.0,1.4391291167919973,1.278955892941898,3.0
24,571,1.49725474583626,0.0,24836.813190617817,0.5476337116395051,0.0,1.4391291167919973,1.278955892941898,3.0
25,570,1.5721174831290732,0.0,24836.813190617817,0.5802504185119111,0.0,1.4391291167919973,1.278955892941898,3.0
26,569,1.650723357286527,0.0,24836.813190617817,0.5219892162461645,0.0,1.4391291167919973,1.278955892941898,3.0
27,568,1.7332595251518534,0.0,24836.813190617817,0.7262991839810174,0.0,1.4391291167919973,1.278955892941898,3.0
28,567,1.8199225014104463,0.0,24836.813190617817,0.8337163425431013,0.0,1.4391291167919973,1.278955892941898,3.0
29,565,1.9109186264819689,0.0,24836.813190617817,0.9123321001895085,0.0,1.4391291167919973,1.278955892941898,3.0
30,564,2.0064645578070675,0.0,24836.813190617817,0.9958106070552368,0.0,1.4391291167919973,1.278955892941898,3.0
31,563,2.106787785698421,0.0,24836.813190617817,1.0783628368078866,0.0,1.4391291167919973,1.278955892941898,3.0
32,562,2.2121271749843423,0.0,24836.813190617817,1.1276542702848444,0.0,1.4391291167919973,1.278955892941898,3.0
33,561,2.3227335337345596,0.0,24836.813190617817,1.205032982404762,0.0,1.4391291167919973,1.278955892941898,3.0
34,559,2.4388702104222877,0.0,24836.813190617817,1.2867554205472393,0.0,1.4391291167919973,1.278955892941898,3.0
35,558,2.5608137209444024,0.0,24836.813190617817,1.302189941154983,0.0,1.4391291167919973,1.278955892941898,3.0
36,557,2.688854406992623,0.0,24836.813190617817,1.495324452557206,0.0,1.4391291167919973,1.278955892941898,3.0
37,556,2.8232971273432543,0.0,24836.813190617817,1.495324452557206,0.0,1.4391291167919973,1.278955892941898,3.0
38,555,2.9644619837114172,0.0,24836.813190617817,1.495324452557206,0.0,1.4391291167919973,1.278955892941898,3.0
39,554,3.1126850828979884,0.0,24836.813190617817,1.769133623570213,0.0,1.4391291167919973,1.278955892941898,3.0
40,552,3.268319337043888,0.0,24836.813190617817,1.875116431290965,0.0,1.4391291167919973,1.278955892941898,3.0
41,551,3.4317353038970824,0.0,24836.813190617817,1.875116431290965,0.0,1.4391291167919973,1.278955892941898,3.0
42,550,3.6033220690929366,0.0,24836.813190617817,2.1233802605762078,0.0,1.4391291167919973,1.278955892941898,3.0
43,549,3.7834881725485836,0.0,24836.813190617817,2.1392269479939428,0.0,1.4391291167919973,1.278955892941898,3.0
44,548,3.972662581177013,0.0,24836.813190617817,2.1710976221876157,0.0,1.4391291167919973,1.278955892941898,3.0
