hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,soc,eeoi,reserve_energy_mwh,reserve_power_max_mw
0,5.500000000,1.400000000,0.000000000,10.920270166,2.864988147,3.798795488,6.652462468,-0.686269809,8.151956319,0.543463755,7.732292905,,
1,7.300000000,1.900000000,0.000000000,10.061944524,2.241137159,4.402130394,7.238487639,-0.199480875,8.341463150,0.556097543,9.133047752,1.882815464,1.788674691
2,7.900000000,2.000000000,0.000000000,10.495708134,2.543653300,4.457784193,8.497914125,-0.512045018,8.827905917,0.588527061,9.628899287,3.302120477,2.205165661
3,9.700000000,2.400000000,0.000000000,9.799548829,2.070336432,4.860423829,9.554576749,-0.244664146,9.060336856,0.604022457,11.410717053,3.174394228,2.672422307
4,10.200000000,2.600000000,0.000000000,9.753307243,2.041166334,4.678540580,10.356489750,-0.193863996,9.244507653,0.616300510,11.999496916,3.037972653,2.286589585
5,12.100000000,3.100000000,0.600000000,8.905981953,1.554061184,5.468850342,10.832461190,-0.147250349,9.384395484,0.625626366,14.242748082,3.336851334,2.797571433
6,13.000000000,3.300000000,1.050000000,8.760079091,1.478927085,6.120727039,10.065728614,0.542471432,8.813372924,0.587558195,14.369917714,3.048911468,2.896465894
7,12.000000000,3.000000000,1.400000000,8.806599027,1.502613719,5.839583495,9.133270444,0.129759780,8.676783682,0.578452245,13.184726092,2.144089584,2.036885104
8,12.100000000,3.000000000,2.250000000,9.422816728,1.840623293,5.203670796,9.461623337,0.025329160,8.650121408,0.576674761,12.055219435,2.691950367,2.557352849
9,11.300000000,2.900000000,1.550000000,9.085898059,1.650160778,5.201512894,8.688562292,0.410085592,8.218452364,0.547896824,11.852201982,1.935302570,1.838537441
10,9.200000000,2.300000000,1.650000000,10.738228763,2.724084883,4.314447393,8.487567118,-0.227929628,8.434985511,0.562332367,9.318670277,0.932129043,0.885522591
11,11.500000000,3.000000000,2.050000000,9.516990553,1.896363534,5.204499267,9.056329834,0.085534434,8.344949265,0.556329951,11.608044860,3.009259385,2.858796416
12,9.200000000,2.300000000,2.050000000,9.854907902,2.105621909,4.590645030,7.335048690,-0.370071811,8.696517485,0.579767832,9.516140949,0.000000000,0.000000000
13,10.200000000,2.600000000,3.500000000,10.448061029,2.509168247,4.208130633,7.833729241,-0.232691627,8.917574531,0.594504969,9.066804525,1.551704797,1.474119557
14,11.300000000,2.800000000,4.200000000,10.139531223,2.293381535,4.598006008,7.608630000,-0.013254473,8.930166280,0.595344419,9.436962421,1.431212941,1.359652294
15,10.100000000,2.600000000,1.700000000,10.012752115,2.208427133,4.843756057,8.352331095,0.012339981,8.917176826,0.594478455,10.248774928,2.736628561,2.599797133
16,9.200000000,2.300000000,1.650000000,10.119854697,2.280055988,4.636817137,7.797207215,-0.303968365,9.205946772,0.613729785,9.609815188,0.818657782,0.777724893
17,9.600000000,2.400000000,1.150000000,9.914225593,2.143873082,4.275306743,8.765692344,-0.047126005,9.250716477,0.616714432,10.275506809,2.312279860,2.196665867
18,9.200000000,2.300000000,0.000000000,9.641238354,1.971610581,4.734298165,8.764213564,-0.026901148,9.276272568,0.618418171,10.878634540,1.795703407,1.705918237
19,8.900000000,2.300000000,0.000000000,10.182191753,2.322450655,5.068196821,8.264938427,0.189315407,9.076993192,0.605132879,10.174752555,1.850775885,1.758237091
20,6.800000000,1.700000000,0.000000000,10.733629229,2.720585938,4.386889322,6.430027262,0.403669354,8.652078082,0.576805205,8.066286400,0.000000000,0.000000000
21,5.400000000,1.300000000,0.000000000,10.997452988,2.926166427,3.920981613,4.893187218,0.811997596,7.797343770,0.519822918,6.797346828,0.206462279,0.196139165
22,4.800000000,1.300000000,0.000000000,10.696459378,2.692420071,3.554958507,3.448306273,1.789155291,5.914022411,0.394268161,6.114139742,0.946560898,0.899232853
23,2.800000000,0.700000000,0.000000000,10.992322670,2.922073162,2.268447579,1.387514417,2.766111166,3.002326447,0.200155096,4.651611847,,
