hour,p_vital_mw,p_nonvital_mw,p_pv_mw,v_kn,p_propulsion_mw,p_g1_mw,p_g2_mw,p_ess_mw,energy_ess_mwh,soc,eeoi,reserve_energy_mwh,reserve_power_max_mw
0,5.500000000,1.400000000,0.000000000,10.598432587,2.619073016,4.106246251,6.387641952,-0.974815188,8.426074429,0.561738295,7.979212545,,
1,7.300000000,1.900000000,0.000000000,10.196522271,2.332270383,4.439125850,7.266688158,-0.173543625,8.590940873,0.572729392,9.054424024,2.257503611,2.144628431
2,7.900000000,2.000000000,0.000000000,10.078396176,2.252148170,4.563544955,7.596858835,-0.008255621,8.598783713,0.573252248,9.463347277,2.817797818,1.885460012
3,9.700000000,2.400000000,0.000000000,9.619224540,1.958136074,5.065811107,8.831481352,0.160843616,8.429474643,0.561964976,11.201013745,4.808936441,3.461277239
4,10.200000000,2.600000000,0.000000000,9.529866913,1.904071216,5.181526806,9.103088692,0.419455718,7.987942309,0.532529487,11.611650857,4.655950629,2.872589864
5,12.100000000,3.100000000,0.600000000,9.321775259,1.782044585,5.420158337,9.712329476,1.249556772,6.672619391,0.444841293,12.576112314,6.502815063,4.278955893
6,13.000000000,3.300000000,1.050000000,9.268750701,1.751807109,5.508626048,9.938955279,1.554225782,5.036592253,0.335772817,12.919073148,4.515239614,4.289477633
7,12.000000000,3.000000000,1.400000000,9.445108230,1.853717275,5.289356679,9.389282922,0.775077674,4.220721017,0.281381401,12.035808837,2.647117890,2.514761996
8,12.100000000,3.000000000,2.250000000,9.551259210,1.916922589,5.164779619,9.058783070,0.543359900,3.648763227,0.243250882,11.537165072,2.502778597,2.377639667
9,11.300000000,2.900000000,1.550000000,9.554791692,1.919050267,5.157627069,9.067201240,0.344221958,3.286424324,0.219094955,11.534016712,2.642386523,2.510267197
10,9.200000000,2.300000000,1.650000000,10.096951294,2.264610229,4.559076553,7.555590921,-0.000057245,3.286478707,0.219098580,9.415055407,0.049904200,0.047408990
11,11.500000000,3.000000000,2.050000000,9.565141393,1.925293140,5.134110575,8.969181860,0.272000706,3.000162174,0.200010812,11.425454462,4.020739178,3.819702219
12,9.200000000,2.300000000,2.050000000,10.194572185,2.330932498,4.462223217,7.318777214,-0.000067934,3.000226711,0.200015114,9.105095648,0.000000000,0.000000000
13,10.200000000,2.600000000,3.500000000,10.250581671,2.369562736,4.431019028,7.240597669,-0.002053961,3.002177975,0.200145198,8.984560526,1.421879496,1.350785521
14,11.300000000,2.800000000,4.200000000,10.089457844,2.259571931,4.567452883,7.592080466,0.000038582,3.002137362,0.200142491,9.452309233,2.019972908,1.918974262
15,10.100000000,2.600000000,1.700000000,9.812239094,2.078390014,4.831414791,8.246993792,-0.000018569,3.002155003,0.200143667,10.371901676,2.617167946,2.486309548
16,9.200000000,2.300000000,1.650000000,10.112969599,2.275405408,4.561719984,7.563554031,0.000131392,3.002016695,0.200134446,9.407261325,0.924643806,0.878411615
17,9.600000000,2.400000000,1.150000000,9.871005337,2.115957015,4.809225591,8.156683298,0.000048126,3.001966036,0.200131069,10.228848595,2.528845247,2.402402984
18,9.200000000,2.300000000,0.000000000,9.722915930,2.022144901,4.965769958,8.555519349,0.000855594,3.001065411,0.200071027,10.796126070,2.489959582,2.365461603
19,8.900000000,2.300000000,0.000000000,9.766493875,2.049456604,4.886090731,8.362644859,0.000721014,3.000306448,0.200020430,10.545481634,1.783091848,1.693937256
20,6.800000000,1.700000000,0.000000000,10.449670893,2.510328283,4.233321245,6.776745080,0.000261958,3.000030703,0.200002047,8.402773099,0.000000000,0.000000000
21,5.400000000,1.300000000,0.000000000,10.903894696,2.852118902,3.826974218,5.725177347,-0.000032663,3.000061732,0.200004115,7.238199098,0.000000000,0.000000000
22,4.800000000,1.300000000,0.000000000,10.999988548,2.928190854,3.681876257,5.346259550,0.000055047,3.000003788,0.200000253,6.902460109,0.318961587,0.303013507
23,2.800000000,0.700000000,0.000000000,10.999990061,2.928192063,2.941581836,3.486608134,0.000002093,3.000001585,0.200000106,5.689399498,,
