strategy,seed,cost,cv_base,cv_res,feasible,runtime_seconds,fault_cv,fault_runtime_seconds,reserve_energy_max_mwh,reserve_power_max_mw
no_reserve,20260826,44608.582638334,0.000e+00,0.000e+00,true,14.624,0.000e+00,8.858,6.656645883,4.347787272
no_reserve,20260827,44608.350711024,0.000e+00,0.000e+00,true,14.119,0.000e+00,8.900,6.500218448,4.311147432
no_reserve,20260828,44608.591818429,0.000e+00,0.000e+00,true,14.307,0.000e+00,8.689,6.526894311,4.288418528
no_reserve,20260829,44608.201017552,0.000e+00,0.000e+00,true,14.438,0.000e+00,8.727,6.502815063,4.289477633
no_reserve,20260830,44608.652100455,0.000e+00,0.000e+00,true,14.472,0.000e+00,8.905,6.677070820,4.369935200
dynamic_reserve,20260826,45089.079350780,0.000e+00,0.000e+00,true,18.520,5.921e-16,13.289,3.736493093,2.977604723
dynamic_reserve,20260827,45149.855833298,0.000e+00,0.000e+00,true,22.377,5.921e-16,12.145,4.080372799,2.875117964
dynamic_reserve,20260828,45194.513427079,0.000e+00,0.000e+00,true,20.611,0.000e+00,12.831,3.246334839,2.833540999
dynamic_reserve,20260829,45121.881099089,0.000e+00,0.000e+00,true,22.185,0.000e+00,12.896,3.646106096,2.986117398
dynamic_reserve,20260830,45110.850072973,0.000e+00,0.000e+00,true,21.715,0.000e+00,13.175,4.042859889,2.999626286
